star_name,star_name,Right ascension,Declination,star_distance,star_distance_error_min,star_distance_error_max,source (xml)
11 Com,11 Com,,,110.6,10.5,10.5,
11 Oph,11 Oph,,,145.0,20.0,20.0,
11 UMi,11 UMi,,,119.5,6.9,6.9,
14 And,14 And,,,76.4,4.1,4.1,
14 Her,14 Her,,,18.1,,,
16 Cyg B,16 Cyg B,,,21.41,0.24,0.24,
18 Del,18 Del,,,73.1,3.5,3.5,
 1RXS J1609b, 1RXS J1609b,,,,10.99,9.82,
1SWASP J1407,1SWASP J1407,,,133.0,12.0,12.0,
24 Sex,24 Sex,,,74.8,4.9,4.9,
2M 0103-55 (AB),2M 0103-55 (AB),,,47.2,3.1,3.1,
2M 0122-24,2M 0122-24,,,36.0,4.0,4.0,
2M 0219-39,2M 0219-39,,,39.4,2.6,2.6,
2M 0441+23,2M 0441+23,,,140.0,,,
2M 0746+20,2M 0746+20,,,12.21,0.05,0.05,
2M 1207-39,2M 1207-39,,,52.4,1.1,1.1,
2M  1938+46,2M  1938+46,,,,,,
2M 2140+16,2M 2140+16,,,25.0,10.0,10.0,
2M 2206-20,2M 2206-20,,,26.67,2.63,2.63,
" CO"""," CO""",,,,63.0,,
TYC 9486-927-1,TYC 9486-927-1,,,24.75,4.25,4.25,
30 Ari B,30 Ari B,,,39.4,1.7,1.7,
38 Vir,38 Vir,,,,,,
4 Uma,4 Uma,,,78.5,1.6,1.6,
42 Dra,42 Dra,,,97.3,5.0,5.0,
47 Uma,47 Uma,,,13.97,1.91,1.91,
" H2O"""," H2O""",,,,29.4,0.3,
55 Cnc,55 Cnc,,,12.34,0.4,0.4,
6 Lyn,6 Lyn,,,56.9,2.5,2.5,
61 Vir,61 Vir,,,8.52,0.05,0.05,
7 CMa,7 CMa,,,19.75,0.09,0.09,
70 Vir,70 Vir,,,22.0,,,
75 Cet,75 Cet,,,81.5,7.51,7.51,
8 Umi,8 Umi,,,159.1,11.0,11.0,
81 Cet,81 Cet,,,97.2,9.2,9.2,
91 Aqr,91 Aqr,,,45.9,0.6,0.6,
AB Pic,AB Pic,,,47.3,1.8,1.8,
Aldebaran,Aldebaran,,,20.43,0.32,0.32,
BD+14 4559,BD+14 4559,,,50.0,4.0,4.0,
BD+15 2375,BD+15 2375,,,774.0,165.0,165.0,
BD+15 2940,BD+15 2940,,,585.0,455.0,455.0,
BD+20 2457,BD+20 2457,,,200.0,100.0,100.0,
BD+20 274,BD+20 274,,,,,,
BD+20 594,BD+20 594,,,152.1,7.4,9.7,
BD+24 4697,BD+24 4697,,,48.8,,,
BD+26 1888,BD+26 1888,,,38.0,,,
BD +48 738,BD +48 738,,,,,,
BD+49 828,BD+49 828,,,,,,
BD-06 1339,BD-06 1339,,,20.0,1.0,1.0,
BD-08 2823,BD-08 2823,,,42.2,2.9,2.9,
BD-10 3166,BD-10 3166,,,66.0,,,
BD-11 4672,BD-11 4672,,,27.3,1.3,1.3,
BD-17 63,BD-17 63,,,34.6,1.5,1.5,
CD-35 2722,CD-35 2722,,,21.3,1.4,1.4,
CFBDS 1458,CFBDS 1458,,,23.1,2.4,2.4,
CHXR 73,CHXR 73,,,,,,
CL Tau,CL Tau,,,,,,
CT Cha,CT Cha,,,165.0,30.0,30.0,
CVSO 30,CVSO 30,,,330.0,0.0,0.0,
CoRoT-1,CoRoT-1,,,460.0,100.0,100.0,
CoRoT-10,CoRoT-10,,,345.0,50.0,50.0,
CoRoT-11,CoRoT-11,,,560.0,30.0,30.0,
CoRoT-12,CoRoT-12,,,1150.0,85.0,85.0,
CoRoT-13,CoRoT-13,,,1310.0,100.0,100.0,
CoRoT-14,CoRoT-14,,,1340.0,110.0,110.0,
CoRoT-15,CoRoT-15,,,,,,
CoRoT-16,CoRoT-16,,,840.0,90.0,90.0,
CoRoT-17,CoRoT-17,,,920.0,50.0,50.0,
CoRoT-18,CoRoT-18,,,870.0,90.0,90.0,
CoRoT-19,CoRoT-19,,,800.0,200.0,200.0,
CoRoT-2,CoRoT-2,,,300.0,100.0,100.0,
CoRoT-20,CoRoT-20,,,1230.0,120.0,120.0,
CoRoT-21,CoRoT-21,,,,,,
CoRoT-22,CoRoT-22,,,592.0,42.0,25.0,
CoRoT-23,CoRoT-23,,,600.0,50.0,50.0,
CoRoT-24,CoRoT-24,,,600.0,70.0,70.0,
CoRoT-25,CoRoT-25,,,1000.0,85.0,25.0,
CoRoT-26,CoRoT-26,,,1670.0,205.0,110.0,
CoRoT-27,CoRoT-27,,,,,,
CoRoT-28,CoRoT-28,,,560.0,70.0,70.0,
CoRoT-29,CoRoT-29,,,765.0,50.0,50.0,
CoRoT-3,CoRoT-3,,,680.0,160.0,160.0,
CoRoT-33,CoRoT-33,,,,,,
CoRoT-4,CoRoT-4,,,,,,
CoRoT-5,CoRoT-5,,,400.0,0.0,0.0,
CoRoT-6,CoRoT-6,,,,,,
CoRoT-7,CoRoT-7,,,150.0,20.0,20.0,
CoRoT-8,CoRoT-8,,,380.0,100.0,100.0,
CoRoT-9,CoRoT-9,,,460.0,,,
DE0823-49,DE0823-49,,,20.69,0.06,0.06,
DH Tau,DH Tau,,,,,,
DP Leo,DP Leo,,,,,,
DW Lyn,DW Lyn,,,,,,
EPIC 201295312,EPIC 201295312,,,,,,
K2-8,K2-8,,,,,,
EPIC 201637175 ,EPIC 201637175 ,,,225.0,50.0,50.0,
EPIC 201713348,EPIC 201713348,,,,,,
EPIC 203826436,EPIC 203826436,,,,,,
EPIC 204221263,EPIC 204221263,,,,,,
EPIC 205071984,EPIC 205071984,,,,,,
EPIC 211822797,EPIC 211822797,,,,,,
EPIC 211913977,EPIC 211913977,,,,,,
EPIC 211916756,EPIC 211916756,,,,,,
EPIC 211969807,EPIC 211969807,,,,,,
EPIC 211970147,EPIC 211970147,,,,,,
EPIC 211990866,EPIC 211990866,,,,,,
EPIC 219388192,EPIC 219388192,,,300.0,24.0,24.0,
EPIC 220504338,EPIC 220504338,,,553.4,43.0,59.0,
EPIC 220674823,EPIC 220674823,,,,,,
EPIC-206011691,EPIC-206011691,,,65.0,6.0,6.0,
EPIC-210490365,EPIC-210490365,,,45.7,3.3,3.3,
FU Tau,FU Tau,,,140.0,,,
FW Tau,FW Tau,,,145.0,15.0,15.0,
Fomalhaut,Fomalhaut,,,7.704,0.028,0.028,
 H2, H2,,,,,,
GJ 1214,GJ 1214,,,13.0,,,
GJ 15 A,GJ 15 A,,,3.587,0.01,0.01,
GJ 160.2,GJ 160.2,,,,,,
GJ 163,GJ 163,,,15.0,0.4,0.4,
GJ 176,GJ 176,,,9.42,0.22,0.22,
GJ 179,GJ 179,,,12.3,0.6,0.6,
GJ 180,GJ 180,,,,,,
GJ 229,GJ 229,,,,,,
GJ 27.1,GJ 27.1,,,,,,
 HIP 1292 b, HIP 1292 b,,,,,,
GJ 317,GJ 317,,,15.1,0.22,0.22,
GJ 328,GJ 328,,,19.8,0.8,0.8,
GJ 3293,GJ 3293,,,17.9,3.0,3.0,
GJ 3341,GJ 3341,,,23.1,0.7,0.7,
GJ 3470,GJ 3470,,,29.28,1.7,2.1,
GJ 3634,GJ 3634,,,19.8,0.6,0.6,
GJ 3998,GJ 3998,,,17.8,0.7,0.7,
GJ 422,GJ 422,,,,,,
GJ 433,GJ 433,,,9.04,0.15,0.15,
 H, H,,,,,,
GJ 504,GJ 504,,,17.56,0.08,0.08,
GJ 536,GJ 536,,,10.03,,,
GJ 581,GJ 581,,,6.21,0.1,0.1,
GJ 649,GJ 649,,,10.34,0.15,0.15,
GJ 667 C,GJ 667 C,,,6.84,0.4,0.4,
GJ 674,GJ 674,,,4.54,0.03,0.03,
GJ 676 A,GJ 676 A,,,16.45,0.44,0.44,
GJ 682,GJ 682,,,,,,
GJ 687,GJ 687,,,4.5,0.115,0.115,
GJ 758,GJ 758,,,15.5,,,
GJ 785,GJ 785,,,8.911,0.024,0.024,
GJ 832,GJ 832,,,4.94,0.025,0.025,
GJ 849,GJ 849,,,9.1,0.2,0.2,
GJ 86,GJ 86,,,10.9,,,
GJ 876,GJ 876,,,4.7,0.01,0.01,
GQ Lup,GQ Lup,,,140.0,50.0,50.0,
GSC 6214-210,GSC 6214-210,,,145.0,14.0,14.0,
GU Psc,GU Psc,,,48.0,5.0,5.0,
HAT-47,HAT-47,,,268.0,7.0,7.0,
HAT-48,HAT-48,,,305.0,12.0,12.0,
 O I, O I,,,,,,
HAT-P-11,HAT-P-11,,,38.0,1.3,1.3,
HAT-P-12,HAT-P-12,,,142.5,3.3,3.3,
HAT-P-13,HAT-P-13,,,214.0,12.0,12.0,
