pl_name,pl_name,Lists,pl_bmassj,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_radj,pl_radjerr2,pl_radjerr1,pl_radjerr2,pl_radjerr1,pl_orbper,pl_orbpererr2,pl_orbpererr1,pl_orbpererr2,pl_orbpererr1,pl_orbeccen,pl_orbeccenerr2,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenerr1,pl_eqt,pl_eqterr2,pl_eqterr1,pl_eqterr2,pl_eqterr1,Discovery method,pl_publ_date,Last updated [yy/mm/dd],source (xml)
Kepler-139 c,Kepler-139 c,,,,,,,0.302,0.062,0.062,0.062,0.062,157.07287800,0.00172000,0.00172000,0.00172000,0.00172000,,,,,,,,,,,,2014,,
Kepler-140 c,Kepler-140 c,,,,,,,0.161,0.031,0.031,0.031,0.031,91.35328200,0.00137000,0.00137000,0.00137000,0.00137000,,,,,,,,,,,,2014,,
Kepler-141 b,Kepler-141 b,,,,,,,0.062,0.004,0.004,0.004,0.004,3.10767500,0.00002200,0.00002200,0.00002200,0.00002200,,,,,,,,,,,,2014,,
Kepler-141 c,Kepler-141 c,,,,,,,0.126,0.008,0.008,0.008,0.008,7.01060600,0.00002000,0.00002000,0.00002000,0.00002000,,,,,,,,,,,,2014,,
Kepler-142 c,Kepler-142 c,,,,,,,0.255,0.049,0.049,0.049,0.049,4.76170200,0.00000500,0.00000500,0.00000500,0.00000500,,,,,,,,,,,,2014,,
Kepler-142 d,Kepler-142 d,,,,,,,0.193,0.042,0.042,0.042,0.042,41.80911800,0.00056200,0.00056200,0.00056200,0.00056200,,,,,,,,,,,,2014,,
Kepler-143 b,Kepler-143 b,,,,,,,0.215,0.054,0.054,0.054,0.054,16.00758300,0.00009300,0.00009300,0.00009300,0.00009300,,,,,,,,,,,,2014,,
Kepler-143 c,Kepler-143 c,,,,,,,0.301,0.075,0.075,0.075,0.075,27.08251100,0.00016900,0.00016900,0.00016900,0.00016900,,,,,,,,,,,,2014,,
Kepler-144 b,Kepler-144 b,,,,,,,0.119,0.023,0.023,0.023,0.023,5.88527300,0.00002000,0.00002000,0.00002000,0.00002000,,,,,,,,,,,,2014,,
Kepler-144 c,Kepler-144 c,,,,,,,0.120,0.023,0.023,0.023,0.023,10.10466500,0.00004300,0.00004300,0.00004300,0.00004300,,,,,,,,,,,,2014,,
Kepler-145 b,Kepler-145 b,,0.11700,0.03600,0.03600,0.03600,0.03600,0.236,0.007,0.007,0.007,0.007,22.95100000,,,,,,,,,,,,,,,,2014,,
Kepler-145 c,Kepler-145 c,,0.25000,0.05200,0.05200,0.05200,0.05200,0.385,0.011,0.011,0.011,0.011,42.88200000,,,,,,,,,,,,,,,,2014,,
Kepler-146 b,Kepler-146 b,,,,,,,0.331,0.062,0.062,0.062,0.062,31.15879900,0.00007900,0.00007900,0.00007900,0.00007900,,,,,,,,,,,,2014,,
Kepler-146 c,Kepler-146 c,,,,,,,0.279,0.053,0.053,0.053,0.053,76.73217100,0.00060900,0.00060900,0.00060900,0.00060900,,,,,,,,,,,,2014,,
Kepler-147 b,Kepler-147 b,,,,,,,0.136,0.028,0.028,0.028,0.028,12.61058400,0.00022800,0.00022800,0.00022800,0.00022800,,,,,,,,,,,,2014,,
Kepler-147 c,Kepler-147 c,,,,,,,0.217,0.044,0.044,0.044,0.044,33.41642300,0.00041600,0.00041600,0.00041600,0.00041600,,,,,,,,,,,,2014,,
Kepler-148 b,Kepler-148 b,,,,,,,0.161,0.078,0.078,0.078,0.078,1.72936600,0.00000400,0.00000400,0.00000400,0.00000400,,,,,,,,,,,,2014,,
Kepler-148 c,Kepler-148 c,,,,,,,0.321,0.157,0.157,0.157,0.157,4.18004300,0.00000400,0.00000400,0.00000400,0.00000400,,,,,,,,,,,,2014,,
Kepler-149 b,Kepler-149 b,,,,,,,0.376,0.054,0.054,0.054,0.054,29.19894300,0.00004100,0.00004100,0.00004100,0.00004100,,,,,,,,,,,,2014,,
Kepler-149 c,Kepler-149 c,,,,,,,0.144,0.021,0.021,0.021,0.021,55.32832800,0.00194600,0.00194600,0.00194600,0.00194600,,,,,,,,,,,,2014,,
Kepler-149 d,Kepler-149 d,,,,,,,0.353,0.061,0.061,0.061,0.061,160.01803200,0.00109600,0.00109600,0.00109600,0.00109600,,,,,,,,,,,,2014,,
Kepler-150 b,Kepler-150 b,,,,,,,0.112,0.017,0.017,0.017,0.017,3.42805400,0.00002600,0.00002600,0.00002600,0.00002600,,,,,,,,,,,,2014,,
