pl_hostname,pl_hostname,st_mass,st_masserr2,st_masserr1,st_rad,st_raderr2,st_raderr1,st_age,st_ageerr2,st_ageerr1,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,st_metfe,st_metfeerr2,st_metfeerr1,st_teff,st_tefferr2,st_tefferr1,Spectral type,st_optmag,st_optmagerr,st_optmagerr,source (xml)
Kepler-139,Kepler-139,1.08,,,1.30,0.25,0.25,,,,,,0.154,,,5594.00,100.00,100.00,,12.701,,,
Kepler-140,Kepler-140,,,,1.29,0.24,0.24,,,,,,-0.094,,,6077.00,136.00,136.00,,12.996,,,
Kepler-141,Kepler-141,1.00,,,0.79,0.04,0.04,,,,,,0.538,,,4910.00,100.00,100.00,,13.448,,,
Kepler-142,Kepler-142,0.99,,,1.27,0.24,0.24,,,,,,-0.274,,,5790.00,100.00,100.00,,13.203,,,
Kepler-143,Kepler-143,,,,1.36,0.32,0.32,,,,,,-0.167,,,5848.00,168.00,168.00,,13.770,,,
Kepler-144,Kepler-144,1.03,,,1.24,0.24,0.24,,,,,,-0.326,,,6075.00,131.00,131.00,,11.992,,,
Kepler-145,Kepler-145,1.32,0.10,0.10,1.85,0.05,0.05,,,,,,-0.674,,,6022.00,,,,11.931,,,
Kepler-146,Kepler-146,,,,1.21,0.23,0.23,,,,,,-0.302,,,5948.00,100.00,100.00,,13.838,,,
Kepler-147,Kepler-147,1.01,,,1.47,0.29,0.29,,,,,,0.078,,,6012.00,100.00,100.00,,13.954,,,
Kepler-148,Kepler-148,,,,0.85,0.41,0.41,,,,,,0.143,,,5272.00,200.00,200.00,,15.342,,,
Kepler-149,Kepler-149,,,,0.95,0.14,0.14,,,,,,0.147,,,5381.00,100.00,100.00,,14.001,,,
Kepler-150,Kepler-150,,,,0.94,0.14,0.14,,,,,,-0.136,,,5560.00,100.00,100.00,,14.985,,,
Kepler-151,Kepler-151,0.83,,,0.83,0.41,0.41,,,,,,-0.102,,,5460.00,200.00,200.00,,14.769,,,
HAT-P-46,HAT-P-46,1.28,0.06,0.10,1.40,0.14,0.29,2.500,1.000,0.700,,,0.300,0.100,0.100,6120.00,100.00,100.00,,,,,
HAT-P-54,HAT-P-54,0.65,0.02,0.02,0.62,0.01,0.01,3.900,2.100,4.300,,,-0.127,0.080,0.080,4390.00,50.00,50.00,,13.600,,,
HATS-2,HATS-2,0.88,0.04,0.04,0.90,0.02,0.02,9.700,2.900,2.900,,,0.150,0.050,0.050,5227.00,95.00,95.00,,13.562,0.016,0.016,
HATS-3,HATS-3,1.21,0.04,0.04,1.40,0.03,0.03,3.200,0.400,0.600,,,-0.157,0.070,0.070,6351.00,76.00,76.00,,12.440,0.200,0.200,
HATS-5,HATS-5,0.94,0.03,0.03,0.87,0.02,0.02,3.600,1.900,2.600,,,0.190,0.080,0.080,5304.00,50.00,50.00,,12.630,0.030,0.030,
HATS-6,HATS-6,0.57,0.03,0.02,0.57,0.01,0.01,8.100,4.300,4.300,,,0.200,0.091,0.091,3724.00,18.00,18.00,,15.160,0.024,0.024,
HD 142,HD 142,1.23,0.16,0.22,1.47,0.04,0.04,,,,,,0.090,0.050,0.050,6245.00,48.00,48.00,,5.700,,,
HD 1502,HD 1502,1.61,0.11,0.11,4.50,0.10,0.10,2.400,0.500,0.500,,,0.090,0.030,0.030,5049.00,44.00,44.00,,8.520,,,
HD 1605,HD 1605,1.31,0.11,0.11,3.80,0.40,0.40,4.590,1.370,1.370,,,0.210,0.050,0.050,4757.00,50.00,50.00,,7.520,,,
HD 1666,HD 1666,1.50,0.07,0.07,1.93,0.49,0.49,1.760,0.200,0.200,,,0.370,0.040,0.040,6317.00,44.00,44.00,,8.170,,,
HD 1690,HD 1690,1.09,0.15,0.15,16.70,3.60,3.60,6.700,3.200,3.200,,,-0.320,0.060,0.060,4393.00,85.00,85.00,,9.170,,,
HD 2039,HD 2039,1.17,,,,,,,,,,,0.315,,,5941.00,,,,9.000,,,
HD 2638,HD 2638,0.93,,,,,,3.000,,,,,0.160,0.050,0.050,5192.00,38.00,38.00,,9.375,0.023,0.023,
HD 3651,HD 3651,0.88,0.03,0.03,,,,,,,,,0.240,0.030,0.030,5221.00,44.00,44.00,,5.860,,,
HD 4113,HD 4113,0.99,,,,,,6.400,1.600,1.600,,,0.200,0.040,0.040,5688.00,26.00,26.00,,7.881,0.012,0.012,
HD 4203,HD 4203,1.13,,,,,,,,,,,0.453,,,5702.00,,,,8.687,0.017,0.017,
HD 4208,HD 4208,0.87,,,,,,,,,,,-0.284,0.030,0.030,5600.00,44.00,44.00,,7.780,,,
HD 4308,HD 4308,0.83,0.01,0.01,,,,4.300,,,,,-0.310,0.010,0.010,5685.00,13.00,13.00,,6.560,,,
HD 4732,HD 4732,1.74,0.14,0.20,5.40,0.40,0.40,,,,,,0.010,0.040,0.040,4959.00,25.00,25.00,,5.890,0.009,0.009,
HD 5319,HD 5319,1.51,0.11,0.11,3.85,0.40,0.40,3.100,0.600,0.600,,,0.150,0.030,0.030,4958.00,44.00,44.00,,8.050,,,
HD 5608,HD 5608,1.55,,0.23,5.50,,0.40,,,,,,,,,4854.00,,25.00,,5.980,0.010,0.010,
HD 5891,HD 5891,1.91,0.13,0.13,8.70,0.20,0.20,1.500,0.800,0.800,,,-0.020,0.030,0.030,4907.00,44.00,44.00,,8.250,,,
HD 6434,HD 6434,0.89,0.04,0.04,1.14,0.05,0.05,11.270,2.120,2.120,,,-0.480,0.050,0.050,5690.00,92.00,92.00,,7.710,0.120,0.120,
HD 7199,HD 7199,0.89,,,0.96,,,6.790,0.780,0.780,,,0.280,0.030,0.030,5386.00,45.00,45.00,,8.027,0.011,0.011,
HD 103197,HD 103197,0.90,,,,,,9.100,,,,,0.210,0.040,0.040,5303.00,58.00,58.00,,9.391,0.017,0.017,
HD 103720,HD 103720,0.79,0.04,0.04,0.73,0.02,0.02,3.800,3.700,3.700,,,-0.020,0.060,0.060,5017.00,88.00,88.00,,9.490,,,
HD 104067,HD 104067,0.79,0.02,0.02,,,,4.330,3.990,3.990,,,-0.060,0.050,0.050,4969.00,72.00,72.00,,7.930,,,
HD 104985,HD 104985,,,,,,,,,,,,,,,,,,,5.800,,,
HD 106270,HD 106270,1.32,0.09,0.09,2.50,0.10,0.10,4.300,0.600,0.600,,,0.080,0.030,0.030,5638.00,44.00,44.00,,7.577,0.011,0.011,
HD 106515 A,HD 106515 A,0.97,0.01,0.01,1.62,0.05,0.05,11.700,0.200,0.200,,,0.030,0.020,0.020,5362.00,29.00,29.00,,7.972,0.014,0.014,
HD 106906,HD 106906,1.50,0.10,0.10,,,,0.013,0.002,0.002,,,,,,6516.00,165.00,165.00,,7.797,0.011,0.011,
HD 108147,HD 108147,1.27,0.02,0.02,,,,,,,,,0.200,0.060,0.060,6265.00,40.00,40.00,,6.995,0.010,0.010,
HD 108341,HD 108341,0.84,0.02,0.02,0.79,0.03,0.03,4.900,4.100,4.100,,,0.040,0.060,0.060,5122.00,79.00,79.00,,9.360,,,
HD 108874,HD 108874,0.95,0.04,0.04,,,,,,,,,0.190,0.030,0.030,5551.00,44.00,44.00,,,,,
HD 109246,HD 109246,1.01,0.11,0.11,1.02,0.07,0.07,,,,,,0.100,0.050,0.050,5844.00,21.00,21.00,,8.770,,,
HD 109271,HD 109271,1.05,0.02,0.02,,,,7.300,1.200,1.200,,,0.100,0.050,0.050,5783.00,62.00,62.00,,8.055,0.013,0.013,
HD 109749,HD 109749,1.20,0.10,0.10,1.24,0.10,0.10,3.700,1.300,1.300,,,0.250,0.050,0.050,5903.00,50.00,50.00,,8.208,0.012,0.012,
HD 111232,HD 111232,0.78,,,,,,5.200,,,,,-0.360,,,5494.00,,,,7.590,,,
HD 113538,HD 113538,0.58,0.05,0.05,0.53,0.02,0.02,4.300,4.000,4.000,,,-0.240,0.060,0.060,4462.00,145.00,145.00,,9.057,,,
HD 114386,HD 114386,0.68,,,,,,,,,,,-0.080,,,4804.00,,,,8.730,0.000,0.000,
HD 114762,HD 114762,0.83,0.01,0.01,1.24,0.05,0.05,,,,,,-0.774,0.030,0.030,5673.00,44.00,44.00,,7.301,0.013,0.013,
HD 114729,HD 114729,1.00,,,,,,,,,,,-0.262,,,5821.00,,,,6.680,,,
HD 116029,HD 116029,1.58,0.11,0.11,4.60,0.10,0.10,2.700,0.500,0.500,,,0.180,0.030,0.030,4951.00,44.00,44.00,,8.040,,,
HD 117207,HD 117207,1.08,,,,,,,,,,,0.266,,,5724.00,,,,7.260,,,
HD 120084,HD 120084,2.39,0.30,0.06,9.12,0.61,0.65,,,,,,0.090,0.050,0.050,4892.00,22.00,22.00,,5.899,0.009,0.009,
HD 121504,HD 121504,1.18,,,,,,1.200,,,,,0.160,,,6075.00,,,,7.517,0.011,0.011,
HD 125612,HD 125612,1.09,0.03,0.03,,,,3.000,,,,,0.230,0.014,0.014,5900.00,18.00,18.00,,8.317,0.014,0.014,
Kepler-20,Kepler-20,0.91,0.03,0.03,0.94,0.10,0.06,8.800,2.700,4.700,,,0.010,0.040,0.040,5455.00,100.00,100.00,,12.498,,,
Kepler-21,Kepler-21,1.41,0.03,0.02,1.90,0.01,0.02,3.030,0.350,0.350,,,-0.030,0.100,0.100,6305.00,50.00,50.00,,8.250,0.012,0.012,
Kepler-22,Kepler-22,0.97,0.06,0.06,0.98,0.02,0.02,,,,,,-0.290,0.060,0.060,5518.00,44.00,44.00,,11.664,,,
Kepler-23,Kepler-23,1.11,0.12,0.09,1.55,0.05,0.05,6.000,2.000,2.000,,,-0.090,0.140,0.140,5828.00,100.00,100.00,,13.438,,,
Kepler-24,Kepler-24,1.03,0.14,0.11,1.29,0.29,0.29,7.700,,,,,-0.240,0.400,0.400,5897.00,219.00,219.00,,14.925,,,
Kepler-25,Kepler-25,1.19,0.06,0.06,1.31,0.02,0.02,11.000,,,,,-0.040,0.100,0.100,6270.00,79.00,79.00,,10.734,,,
Kepler-26,Kepler-26,0.54,0.03,0.03,0.51,0.02,0.02,,,,,,-0.130,0.130,0.130,3914.00,119.00,119.00,,15.473,,,
Kepler-27,Kepler-27,0.65,0.16,0.16,0.59,0.15,0.15,,,,,,0.410,0.040,0.040,5400.00,60.00,60.00,,15.855,,,
Kepler-28,Kepler-28,0.75,,,0.70,,,,,,,,0.340,,,4590.00,,,,15.036,,,
Kepler-29,Kepler-29,0.98,0.05,0.05,0.93,0.06,0.06,,,,,,-0.040,0.120,0.120,5701.00,102.00,102.00,,15.282,,,
Kepler-30,Kepler-30,0.99,0.08,0.08,0.95,0.12,0.12,2.000,0.800,0.800,,,0.180,0.270,0.270,5498.00,54.00,54.00,,15.403,,,
Kepler-31,Kepler-31,1.21,0.17,0.17,1.22,0.24,0.24,,,,,,-0.076,0.400,0.400,6340.00,200.00,200.00,,15.237,,,
Kepler-32,Kepler-32,0.58,0.05,0.05,0.53,0.04,0.04,,,,,,0.000,0.400,0.400,3900.00,200.00,200.00,,16.452,,,
Kepler-33,Kepler-33,1.29,0.12,0.06,1.82,0.18,0.14,4.270,1.030,0.740,,,0.025,0.002,0.002,5904.00,47.00,47.00,,13.988,,,
HIP 79431,HIP 79431,,,,,,,,,,,,,,,,,,,11.340,,,
HIP 91258,HIP 91258,0.95,0.03,0.03,1.00,0.04,0.04,2.400,2.400,2.400,,,0.230,0.050,0.050,5519.00,70.00,70.00,,8.646,0.015,0.015,
HIP 97233,HIP 97233,1.93,0.11,0.11,5.34,0.55,0.55,,,,,,0.290,0.130,0.130,5020.00,100.00,100.00,,7.340,,,
HIP 105854,HIP 105854,2.10,0.10,0.10,,,,,,,,,0.310,0.180,0.180,4780.00,100.00,100.00,,5.640,,,
HIP 116454,HIP 116454,0.78,0.03,0.03,0.72,0.02,0.02,2.000,,,,,-0.160,0.080,0.080,5089.00,50.00,50.00,,10.190,0.009,0.009,
HR 810,HR 810,,,,,,,,,,,,,,,,,,,5.410,,,
HR 8799,HR 8799,1.51,0.02,0.04,,,,,,,,,,,,,,,,5.953,0.010,0.010,
K2-3,K2-3,0.60,0.09,0.09,0.56,0.07,0.07,,,,,,-0.320,0.130,0.130,3896.00,189.00,189.00,,12.170,0.010,0.010,
KELT-1,KELT-1,1.32,,0.03,1.46,,0.04,,,,,,,,,6518.00,,50.00,,10.701,0.057,0.057,
KELT-2 A,KELT-2 A,1.31,,0.03,1.83,,0.07,,,,,,,,,6151.00,,50.00,,8.713,0.016,0.016,
KELT-6,KELT-6,1.13,0.06,0.06,1.53,0.14,0.14,4.900,0.460,0.660,,,-0.270,0.060,0.060,6272.00,61.00,61.00,,10.418,0.047,0.047,
TrES-2,TrES-2,0.98,0.06,0.06,1.00,0.03,0.04,,,,,,-0.150,0.100,0.100,5850.00,50.00,50.00,,11.411,0.005,0.005,
HAT-P-7,HAT-P-7,1.47,0.07,0.07,1.84,0.17,0.17,,,,,,0.150,0.080,0.080,6441.00,69.00,69.00,,10.463,,,
HAT-P-11,HAT-P-11,0.81,0.03,0.02,0.75,0.02,0.02,6.500,4.100,5.900,,,0.310,0.050,0.050,4780.00,50.00,50.00,,9.472,0.024,0.024,
Kepler-5,Kepler-5,1.37,0.06,0.04,1.79,0.06,0.04,,,,,,0.040,0.060,0.060,6297.00,60.00,60.00,,13.369,,,
Kepler-6,Kepler-6,1.21,0.04,0.04,1.39,0.03,0.02,,,,,,0.340,0.040,0.040,5647.00,44.00,44.00,,13.303,,,
Kepler-7,Kepler-7,1.36,0.03,0.03,1.97,0.01,0.01,,,,,,0.110,0.030,0.030,5933.00,44.00,44.00,,12.885,,,
Kepler-9,Kepler-9,1.07,0.05,0.05,1.02,0.05,0.05,1.000,,,,,0.120,0.040,0.040,5777.00,61.00,61.00,,13.803,,,
Kepler-10,Kepler-10,0.91,0.02,0.02,1.06,0.01,0.01,,,,,,-0.150,0.040,0.040,5627.00,44.00,44.00,,10.940,0.345,0.345,
Kepler-11,Kepler-11,0.96,0.03,0.03,1.06,0.02,0.02,8.500,1.400,1.100,,,-0.041,0.041,0.036,5663.00,66.00,55.00,,14.200,,,
Kepler-12,Kepler-12,1.17,0.05,0.05,1.48,0.03,0.03,,,,,,0.070,0.040,0.040,5947.00,100.00,100.00,,13.800,,,
KOI-13,KOI-13,1.72,0.10,0.10,1.74,0.04,0.04,,,,,,0.200,0.200,0.200,7650.00,250.00,250.00,,9.958,,,
Kepler-15,Kepler-15,1.02,0.05,0.04,0.99,0.07,0.06,3.700,3.600,1.500,,,0.360,0.070,0.070,5515.00,130.00,122.00,,13.758,,,
Kepler-16,Kepler-16,0.69,0.00,0.00,0.65,0.00,0.00,,,,,,-0.300,0.200,0.200,4450.00,150.00,150.00,,11.762,,,
Kepler-17,Kepler-17,1.16,0.06,0.06,1.05,0.03,0.03,1.780,,,,,0.260,0.100,0.100,5781.00,85.00,85.00,,14.141,,,
