pl_hostname,pl_hostname,ra_str,dec_str,st_dist,st_disterr2,st_disterr1,source (xml)
Kepler-139,kepler-139,18 49 34.07,+43 53 21.7,,,,
Kepler-140,kepler-140,19 09 28.67,+46 46 05.6,,,,
Kepler-141,kepler-141,19 51 53.02,+47 43 54.0,,,,
Kepler-142,kepler-142,19 40 28.54,+48 28 52.6,,,,
Kepler-143,kepler-143,19 52 16.25,+49 24 45.4,,,,
Kepler-144,kepler-144,18 47 39.76,+42 46 31.8,,,,
Kepler-145,kepler-145,19 25 33.06,+44 31 44.8,,,,
Kepler-146,kepler-146,19 36 26.58,+38 42 36.8,,,,
Kepler-147,kepler-147,19 11 54.18,+39 05 13.9,,,,
Kepler-148,kepler-148,19 19 08.69,+46 51 31.6,,,,
Kepler-149,kepler-149,19 03 24.88,+38 23 02.8,,,,
Kepler-150,kepler-150,19 12 56.18,+40 31 15.3,,,,
Kepler-151,kepler-151,19 28 39.07,+41 01 23.6,,,,
HAT-P-46,hat-p-46,18 01 46.61,-02 58 15.4,296.00,-29.00,61.00,
HAT-P-54,hat-p-54,06 39 35.52,+25 28 57.1,135.80,-3.50,3.50,
HATS-2,hats-2,11 46 57.38,-22 33 46.8,360.00,-11.00,11.00,
HATS-3,hats-3,20 49 49.79,-24 25 43.7,453.00,-11.00,11.00,
HATS-5,hats-5,04 28 53.49,-21 28 54.9,257.00,-8.00,8.00,
HATS-6,hats-6,05 52 35.23,-19 01 54.0,148.40,-3.30,3.30,
HD 142,hd142,00 06 19.18,-49 04 30.7,25.64,-0.43,0.41,
HD 1502,hd1502,00 19 17.07,+14 03 17.1,167.50,-36.16,25.26,
HD 1605,hd1605,00 20 31.52,+30 58 29.3,84.60,-7.14,6.11,
HD 1666,hd1666,00 20 52.34,-19 55 52.4,110.62,-13.91,11.12,
HD 1690,hd1690,00 21 13.32,-08 16 52.2,7.01,,,
HD 2039,hd2039,00 24 20.28,-56 39 00.2,89.85,-10.15,8.28,
HD 2638,hd2638,00 29 59.87,-05 45 50.4,53.71,-4.20,3.63,
HD 3651,hd3651,00 39 21.81,+21 15 01.7,11.10,-0.10,0.10,
HD 4113,hd4113,00 43 12.60,-37 58 57.5,44.05,-2.01,1.84,
HD 4203,hd4203,00 44 41.20,+20 26 56.1,77.82,-8.53,7.00,
HD 4208,hd4208,00 44 26.65,-26 30 56.4,32.70,-1.20,1.12,
HD 4308,hd4308,00 44 39.27,-65 38 58.3,21.85,-0.27,0.26,
HD 4732,hd4732,00 49 13.95,-24 08 12.0,56.50,-3.35,2.99,
HD 5319,hd5319,00 55 01.40,+00 47 22.4,114.00,-11.00,11.00,
HD 5608,hd5608,00 58 14.22,+33 57 03.2,58.17,-2.95,2.68,
HD 5891,hd5891,01 00 33.19,+20 17 32.9,150.60,-33.56,23.21,
HD 6434,hd6434,01 04 40.15,-39 29 17.6,40.32,-1.50,1.40,
HD 7199,hd7199,01 10 47.22,-66 11 17.4,35.88,-0.91,0.87,
HD 103197,hd103197,11 52 52.98,-50 17 34.2,49.33,-3.86,3.34,
HD 103720,hd103720,11 56 41.18,-02 46 44.2,41.60,,,
HD 104067,hd104067,11 59 10.01,-20 21 13.6,20.82,-0.46,0.44,
HD 104985,hd104985,12 05 15.12,+76 54 20.6,102.04,-5.72,5.14,
HD 106270,hd106270,12 13 37.28,-09 30 48.2,87.87,-8.65,7.23,
HD 106515 A,hd106515a,12 15 06.57,-07 15 26.4,36.36,-2.16,1.93,
HD 106906,hd106906,12 17 53.19,-55 58 31.9,91.83,-8.27,7.01,
HD 108147,hd108147,12 25 46.27,-64 01 19.5,38.56,-1.05,1.00,
HD 108341,hd108341,12 27 31.39,-71 25 22.7,49.40,,,
HD 108874,hd108874,12 30 26.88,+22 52 47.4,68.50,-5.80,5.80,
HD 109246,hd109246,12 32 07.19,+74 29 22.4,65.60,,,
HD 109271,hd109271,12 33 35.56,-11 37 18.7,56.92,-3.22,2.89,
HD 109749,hd109749,12 37 16.38,-40 48 43.6,59.03,-7.50,5.98,
HD 111232,hd111232,12 48 51.75,-68 25 30.5,28.88,-0.68,0.65,
HD 113538,hd113538,13 04 57.48,-52 26 34.5,15.90,,,
HD 114386,hd114386,13 10 39.82,-35 03 17.2,28.04,-1.08,1.00,
HD 114762,hd114762,13 12 19.74,+17 31 01.6,40.57,-2.52,2.24,
HD 114729,hd114729,13 12 44.26,-31 52 24.1,35.00,-1.23,1.15,
HD 116029,hd116029,13 20 39.54,+24 38 55.3,110.62,-13.45,10.82,
HD 117207,hd117207,13 29 21.11,-35 34 15.6,33.01,-1.03,0.97,
HD 120084,hd120084,13 42 39.20,+78 03 52.0,97.66,-4.91,4.46,
HD 121504,hd121504,13 57 17.24,-56 02 24.2,44.37,-1.87,1.72,
HD 125612,hd125612,14 20 53.51,-17 28 53.5,52.83,-4.22,3.64,
Kepler-20,kepler-20,19 10 47.52,+42 20 19.4,290.00,-30.00,30.00,
Kepler-21,kepler-21,19 09 26.84,+38 42 50.5,113.00,-7.00,7.00,
Kepler-22,kepler-22,19 16 52.20,+47 53 04.1,190.00,,,
Kepler-23,kepler-23,19 36 52.54,+49 28 45.2,800.00,,,
Kepler-24,kepler-24,19 21 39.18,+38 20 37.5,1200.00,,,
Kepler-25,kepler-25,19 06 33.21,+39 29 16.4,,,,
Kepler-26,kepler-26,18 59 45.84,+46 33 59.5,,,,
Kepler-27,kepler-27,19 28 56.82,+41 05 09.2,,,,
Kepler-28,kepler-28,19 28 32.89,+42 25 45.9,,,,
Kepler-29,kepler-29,19 53 23.60,+47 29 28.4,1400.00,,,
Kepler-30,kepler-30,19 01 08.07,+38 56 50.2,1400.00,,,
Kepler-31,kepler-31,19 36 05.52,+45 51 11.1,2100.00,,,
Kepler-32,kepler-32,19 51 22.18,+46 34 27.4,303.00,-14.00,14.00,
Kepler-33,kepler-33,19 16 18.61,+46 00 18.8,,,,
HIP 79431,hip79431,16 12 41.77,-18 52 31.8,14.90,-0.83,0.75,
HIP 91258,hip91258,18 36 53.15,+61 42 09.0,44.46,-1.47,1.38,
HIP 97233,hip97233,19 45 41.27,-00 41 47.9,106.50,-7.40,8.60,
HIP 105854,hip105854,21 26 22.87,-37 49 45.9,84.60,-6.14,5.36,
HIP 116454,hip116454,23 35 49.28,+00 26 43.9,55.20,-5.40,5.40,
HR 810,hr810,02 42 33.47,-50 48 01.1,17.24,-0.17,0.16,
HR 8799,hr8799,23 07 28.72,+21 08 03.3,39.40,-1.10,1.10,
