Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
11 Com b,11 Com b,Confirmed planets,19.4,1.5,1.5,,,,,,,,326.03,0.32,0.32,,,0.231,0.005,0.005,,,,,,,,RV,2008,15/09/20,11 Com.xml
11 UMi b,11 UMi b|11 Ursae Minoris b|HD 136726 b,Confirmed planets,10.5,2.47,2.47,,,,,,,,516.22,3.25,3.25,,,0.08,0.03,0.03,,,,,,,,RV,2009,15/09/20,11 UMi.xml
14 And b,14 And b|14 Andromedae b|HD 221345 b,Confirmed planets,5.33,,,,,,,,,,185.84,0.23,0.23,,,0,,,,,,,,,,RV,2008,15/09/20,14 And.xml
14 Her b,14 Her b|HD 145675 b|GJ 614 b,Confirmed planets,4.64,,,,,,,,,,1773.4,,,,,0.369,,,,,,,,,,RV,2002,15/09/21,14 Her.xml
14 Her c,14 Her c|HD 145675 c|GJ 614 c,Controversial,7.679,,,,,,,,,,9886,,,,,0.184,,,,,,,,,,RV,2006,15/09/21,14 Her.xml
16 Cygni B b,16 Cygni B b|16 Cyg B b|HD 186427 B b,Confirmed planets|Planets in binary systems| S-type,1.68,0.07,0.07,,,,,,,,799.5,0.6,0.6,,,0.689,0.011,0.011,,,,,,,,RV,1996,15/09/22,16 Cygni.xml
18 Del b,18 Del b|18 Delphini b|HD 199665 b,Confirmed planets,10.3,,,,,,,,,,993.3,3.2,3.2,,,0.08,0.01,0.01,,,,,,,,RV,2008,15/09/23,18 Del.xml
1RXS1609 b,1RXS1609 b|1RXS J160929.1-210524 b|GSC 6213-1358 b,Confirmed planets,,,,13,16,1.7,,,,,,,,,,,,,,,2000,100,100,,,imaging,2008,15/07/29,1RXS1609.xml
1SWASP J1407 b,1SWASP J1407 b|1SWASP J140747.93-394542.6 b|J1407 b,Controversial,14.0,,,,,,,,,,3725.0,,,,,0.8,0.1,0.1,,,,,,,,transit,2007,15/02/21,1SWASP J1407.xml
24 Sex b,24 Sex b|24 Sextantis b|HD 90043 b,Confirmed planets,1.99,0.38,0.26,,,,,,,,452.8,4.5,2.1,,,0.09,0.06,0.14,,,,,,,,RV,2010,15/09/23,24 Sex.xml
24 Sex c,24 Sex c|24 Sextantis c,Confirmed planets,0.86,0.22,0.35,,,,,,,,883.0,13.8,32.4,,,0.29,0.09,0.16,,,,,,,,RV,2010,15/09/23,24 Sex.xml
2M 044144 b,2M 044144 b|2M 044144 B|2MASS J04414489+2301513 B|2M0441+2301 Bb,Confirmed planets|Planets in binary systems| S-type,9.8,1.8,1.8,,,,,,,,,,,,,,,,,,1800,,,,,imaging,2010,15/09/12,2M 044144.xml
2M 0746+20 b,2M 0746+20 b|2MASS J07464256+2000321 B,Confirmed planets,30,,,,,0.97,,,,,4640,,,,,0.487,,,,,,,,,,imaging,2010,12/01/20,2M 0746+20.xml
2M 1938+4603 b,2M 1938+4603 b|2M 1938+4603 (AB) b|Kepler-451 b|Kepler-451 (AB) b|KIC 9472174 b|KIC 9472174 (AB) b,Confirmed planets|Planets in binary systems| P-type,1.9,0.1,0.1,,,,,,,,416,2,2,,,,,,,,,,,,,timing,2015,15/06/11,2M 1938+4603.xml
2M 2140+16 b,2M 2140+16 b|2MASS J21402931+1625183 b,Confirmed planets,20,,,,,0.92,,,,,7340,,,,,0.26,,,,,,,,,,imaging,2010,12/01/20,2M 2140+16.xml
2M 2206-20 b,2M 2206-20 b|2MASS J22062280-2047058 b,Confirmed planets,30,,,,,1.3,,,,,8686,,,,,0.0,,,,,,,,,,imaging,2010,12/01/20,2M 2206-20.xml
2M1207 b,2M1207 b|2MASS J12073346-3932539 b,Confirmed planets,5,3,3,,,,,,,,,,,,,,,,,,1230,,,920,1540,imaging,2004,10/12/28,2M1207.xml
2MASS 0122-2439 B,2MASS 0122-2439 B|2MASS J01225093-2439505 B,Confirmed planets,,,,12,27,,,,,,,,,,,,,,,,,,,,,imaging,2013,15/04/20,2MASS 0122-2439.xml
2MASS J0219-3925 B,2MASS J0219-3925 B|2MASS J02192210-3925225 B,Confirmed planets,13.9,1.1,1.1,,,1.44,0.03,0.03,,,,,,,,,,,,,1683,43,43,,,imaging,2015,15/07/24,2MASS J0219-3925.xml
30 Ari B b,30 Ari B b|30 Arietis B b,Confirmed planets|Planets in binary systems| S-type,6.6,0.9,0.9,,,,,,,,345.4,3.8,3.8,,,0.18,0.11,0.11,,,,,,,,RV,2009,16/01/10,30 Ari.xml
4 UMa b,4 UMa b|4 Ursae Majoris b|pi.02 UMa b|Pi-2 Ursae Majoris b|p2 Ursae Majoris b|HD 73108 b|HIP 42527 b|TYC 4130-2355-1 b|SAO 14616 b|BD+64 698 b|HR 3404 b|2MASS J08401279+6419405 b,Confirmed planets,7.1,1.6,1.6,,,,,,,,269.3,1.96,1.96,,,0.432,0.024,0.024,,,877.3,,,,,RV,2007,15/09/20,4 UMa.xml
42 Dra b,42 Dra b|42 Draconis b|HD 170693 b,Confirmed planets,3.88,0.85,0.85,,,,,,,,479.1,6.2,6.2,,,0.38,0.06,0.06,,,,,,,,RV,2009,15/09/24,42 Dra.xml
47 UMa b,47 UMa b|47 Ursae Majoris b|HD 95128 b|HR 4277 b,Confirmed planets,2.53,0.06,0.07,,,,,,,,1078,2,2,,,0.032,0.014,0.014,,,,,,,,RV,1996,15/09/24,47 UMa.xml
47 UMa c,47 UMa c|47 Ursae Majoris c|HD 95128 c|HR 4277 c,Confirmed planets,0.540,0.073,0.066,,,,,,,,2391,87,100,,,0.098,0.096,0.047,,,,,,,,RV,2001,15/09/24,47 UMa.xml
47 UMa d,47 UMa d|47 Ursae Majoris d|HD 95128 d|HR 4277 d,Confirmed planets,1.64,0.48,0.29,,,,,,,,14002,5095,4018,,,0.16,0.16,0.09,,,,,,,,RV,2010,15/09/24,47 UMa.xml
51 Eri b,51 Eri b|51 Eridani b,Confirmed planets|Planets in binary systems| S-type,7.0,,,,,0,,,,,14965.0,4400,12800,,,0.21,0.15,0.19,,,700,150,50,,,imaging,2015,15/08/14,51 Eri.xml
51 Peg b,51 Peg b|Bellerophon,Confirmed planets,0.47,0.067,0.033,,,,,,1.6,,4.2308,,,,,0,,,,,1260.3,,,,,RV,1995,15/05/24,51 Peg.xml
55 Cnc b,55 Cnc b|rho01 Cnc b|r1 Cnc b|HR 3522 b|55 Cnc A b|rho01 Cnc A b|r1 Cnc A b,Confirmed planets|Planets in binary systems| S-type,0.8306,0.0033,0.0033,,,,,,,,14.65152,0.00015,0.00015,,,0.0034,0.0032,0.0032,,,,,,,,RV,1996,15/01/26,55 Cancri.xml
55 Cnc c,55 Cnc c|rho01 Cnc c|r1 Cnc c|HR 3522 c|55 Cnc A c|rho01 Cnc A c|r1 Cnc A c,Confirmed planets|Planets in binary systems| S-type,0.1714,0.0055,0.0055,,,,,,,,44.4175,0.000073,0.000073,,,0.020,0.031,0.031,,,,,,,,RV,2002,15/01/26,55 Cancri.xml
55 Cnc d,55 Cnc d|rho01 Cnc d|r1 Cnc d|HR 3522 d|55 Cnc A d|rho01 Cnc A d|r1 Cnc A d,Confirmed planets|Planets in binary systems| S-type,3.878,0.068,0.068,,,,,,,,4825,39,39,,,0.019,0.013,0.013,,,,,,,,RV,2002,15/01/26,55 Cancri.xml
55 Cnc e,55 Cnc e|rho01 Cnc e|r1 Cnc e|HR 3522 e|55 Cnc A e|rho01 Cnc A e|r1 Cnc A e,Confirmed planets|Planets in binary systems| S-type,0.0254,0.00098,0.00098,,,0.1746,0.0073,0.0073,,,0.7365515,0.0000015,0.0000015,,,0.040,0.027,0.027,,,,,,1328,3016,transit,2004,15/06/08,55 Cancri.xml
55 Cnc f,55 Cnc f|rho01 Cnc f|r1 Cnc f|HR 3522 f|55 Cnc A f|rho01 Cnc A f|r1 Cnc A f,Confirmed planets|Planets in binary systems| S-type,0.141,0.012,0.012,,,,,,,,262.00,0.51,0.51,,,0.305,0.075,0.075,,,,,,,,RV,2007,11/06/07,55 Cancri.xml
6 Lyn b,6 Lyn b|6 Lyncis b|HD 45410 b,Confirmed planets,2.21,0.16,0.11,,,,,,,,874.774,8.47,16.27,,,0.059,0.059,0.066,,,,,,,,RV,2008,15/09/20,6 Lyn.xml
61 Vir b,61 Vir b,Confirmed planets,0.016,0.002,0.002,,,,,,,,4.2150,0.0006,0.0006,,,0.12,0.11,0.11,,,,,,,,RV,2009,15/11/02,61 Vir.xml
61 Vir c,61 Vir c,Confirmed planets,0.0573,0.0035,0.0035,,,,,,,,38.021,0.034,0.034,,,0.14,0.06,0.06,,,,,,,,RV,2009,15/11/02,61 Vir.xml
61 Vir d,61 Vir d,Confirmed planets,0.0721,0.0082,0.0082,,,,,,,,123.01,0.55,0.55,,,0.35,0.09,0.09,,,,,,,,RV,2009,15/11/02,61 Vir.xml
7 CMa b,7 CMa b|7 Canis Majoris b|HD 47205 b,Confirmed planets,2.46,0.14,0.14,,,,,,,,796.0,7.4,7.4,,,0.22,0.07,0.07,,,,,,,,RV,2011,15/10/25,7 CMa.xml
70 Vir b,70 Vir b|BD+14 2621 b|Gliese 9446 b|HD 117176 b|HIP 65721 b|2MASS J1328282584+1346447 b|PPM 129843 b|TYC 898-1042-1 b,Confirmed planets,6.6,0,0,,,,,,,,116.67,0.0014,0.0014,,,0.43,0,0,,,0,,,,,RV,1996,15/04/15,70 Vir.xml
75 Cet b,75 Cet b,Confirmed planets,3.0,,,,,,,,,,691.9,3.6,3.6,,,0,0,0,,,,,,,,RV,2012,15/11/02,75 Cet.xml
8 Ursae Minoris b,8 Ursae Minoris b|HD 133086 b|HIP 73136 b|TYC 4417-267-1 b|BD+75 547 b|PPM 8785 b|WDS J14568+7454A b|2MASS J14564834+7454032 b,Confirmed planets,1.5,0.2,0.2,,,,,,,,93.4,4.5,4.5,,,0.06,0.18,0.18,,,,,,,,RV,2015,15/09/30,8 Ursae Minoris.xml
81 Cet b,81 Cet b|81 Ceti b|HD 16400 b,Confirmed planets,5.3,,,,,,,,,,952.7,8.8,8.8,,,0.206,0.029,0.029,,,,,,,,RV,2008,15/09/20,81 Cet.xml
83 Leonis B b,83 Leonis B b|83 Leo B b|HD 99492 b|Gliese 429 B b|GJ 429 B b,Confirmed planets|Planets in binary systems| S-type,0.087,0.006,0.006,,,,,,,,17.054,0.003,0.003,,,0.13,0.07,0.07,,,,,,,,RV,2004,15/11/02,83 Leonis.xml
83 Leonis B c,83 Leonis B c|83 Leo B c|HD 99492 c|Gliese 429 B c|GJ 429 B c,Confirmed planets|Planets in binary systems| S-type,0.36,0.06,0.06,,,,,,,,4970,744,744,,,0.1,0.2,0.2,,,,,,,,RV,2010,15/11/02,83 Leonis.xml
91 Aquarii A b,91 Aquarii A b|91 Aqr A b|HD 219449 A b|HIP 114855 A b|Gliese 893.2 A b|91 Aqr b,Confirmed planets|Planets in binary systems| S-type,3.2,,,,,,,,,,181.4,0.1,0.1,,,0.027,0.026,0.026,,,,,,,,RV,2003,15/11/03,91 Aquarii.xml
AB Pic b,AB Pic b,Confirmed planets,0.5,,,10,14,1.55,,,1.5,1.6,,,,,,,,,,,1750,100,100,,,imaging,2005,10/12/06,AB Pic.xml
alf Ari b,alf Ari b,Confirmed planets,1.8,0.2,0.2,,,,,,,,380.8,0.3,0.3,,,0.25,0.03,0.03,,,,,,,,RV,2011,15/11/17,alf Ari.xml
