Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
11 Com,11 Com|11 Comae Berenices|HD 107383|HIP 60202|TYC 1445-2560-1|SAO 100053|HR 4697|BD+18 2592|2MASS J12204305+1747341,2.7,0.3,0.3,19,2,2,,,,,,-0.35,0.09,0.09,4742,100,100,G8 III,4.74,,,11 Com.xml
11 UMi,11 UMi|11 Ursae Minoris|Pherkard|Pherkad Minor|HD 136726|HIP 74793|TYC 4414-2315-1|SAO 8207|HR 5714|BD+72 678|2MASS J15170588+7149258,1.80,0.25,0.25,24.08,1.84,1.84,,,,,,0.04,0.04,0.04,4340,70,70,K4III,5.024,,,11 UMi.xml
14 And,14 And|14 Andromedae|HD 221345|HIP 116076|TYC 3231-323-1|HR 8930|BD+38 5023|2MASS J23311742+3914102,2.2,0.2,0.1,11,1,1,,,,,,-0.24,0.03,0.03,4813,20,20,K0III,5.22,,,14 And.xml
14 Her,14 Her|HD 145675|HIP 79248|TYC 3067-576-1|SAO 45933|Gliese 614|GJ 614|BD+44 2549|2MASS J16102432+4349037,1.0,,,0.708,,,,,,,,0.43,,,5311.0,,,K0 V,6.67,,,14 Her.xml
16 Cygni A,16 Cygni A|16 Cyg A|HD 186408|HIP 96895|TYC 3565-1524-1|SAO 31898|HR 7503|Gliese 765.1 A|GJ 765.1 A|BD+50 2847|2MASS J19414896+5031305|KIC 12069424|WDS J19418+5032 Aa,1.11,0.02,0.02,1.243,0.008,0.008,6.8,0.4,0.4,,,0.096,0.026,0.026,5825,50,50,G2V,5.95,,,16 Cygni.xml
16 Cygni C,16 Cygni C|16 Cyg C|WDS J19418+5032 Ab,0.17,,,,,,,,,,,,,,,,,M,13,,,16 Cygni.xml
16 Cygni B,16 Cygni B|16 Cyg B|HD 186427|HIP 96901|TYC 3565-1525-1|SAO 31899|HR 7504|Gliese 765.1 B|GJ 765.1 B|BD+50 2848|2MASS J19415198+5031032|KIC 12069449,1.07,0.02,0.02,1.127,0.007,0.007,6.8,0.4,0.4,,,0.052,0.021,0.021,5750,50,50,G2V,6.20,,,16 Cygni.xml
18 Del,18 Del|18 Delphini|HD 199665|HIP 103527|TYC 1107-2709-1|SAO 106712|HR 8030|BD+10 4425|2MASS J20582594+1050214,2.3,,,8.5,,,,,,,,-0.052,0.023,0.023,4979,18,18,G6III,5.522,,,18 Del.xml
1RXS1609,1RXS1609|1RXS J160929.1-210524|GSC 6213-1358,0.85,0.10,0.20,1.35,,,0.011,0.002,0.002,,,,,,4060,200,300,M0V,,,,1RXS1609.xml
1SWASP J1407,1SWASP J1407|1SWASP J140747.93-394542.6,,,,0.99,0.11,0.11,0.016,,,,,,,,,,,K5,,,,1SWASP J1407.xml
24 Sex,24 Sex|24 Sextantis|HD 90043|HIP 50887|TYC 4905-1374-1|SAO 137532|BD-00 2332|2MASS J10232836-0054079,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,,,-0.03,0.04,0.04,5098,44,44,G5,7.38,,,24 Sex.xml
2M0441+2301 Aa,2M0441+2301 Aa|2M 044145 A|2MASS J04414565+2301580 A,0.2,0.05,1.0,1.1,0.2,0.2,,,,,,,,,3400,,,M4.5,,,,2M 044144.xml
2M0441+2301 Ab,2M0441+2301 Ab|2M 044145 B|2MASS J04414565+2301580 B,0.033,0.005,0.005,,,,,,,,,,,,2800,,,M7+-1,,,,2M 044144.xml
2M 044144,2M 044144|2M 044144 A|2MASS J04414489+2301513|2MASS J04414489+2301513 A|2M0441+2301 Ba|2M0441+2301 B,0.018,0.003,0.003,,,,,,,,,,,,2100,,,M7,,,,2M 044144.xml
2M 0746+20,2M 0746+20|2MASS J07464256+2000321 A,0.12,,,0.089,,,,,,,,,,,2205.0,,,L0/L1.5,17.7,,,2M 0746+20.xml
2M 1938+4603 A,2M 1938+4603 A|Kepler-451 A|KIC 9472174 A|2MASS J19383260+4603591 A|WISE J193832.61+460358.9 A|TYC 3556-3568-1 A|NSVS 5629361 A,0.48,0.03,0.03,0.223,0.004,0.004,,,,,,,,,29564,106,106,sdBV,12.69,0.24,0.24,2M 1938+4603.xml
2M 1938+4603 B,2M 1938+4603 B|Kepler-451 B|KIC 9472174 B|2MASS J19383260+4603591 B|WISE J193832.61+460358.9 B|TYC 3556-3568-1 B|NSVS 5629361 B,0.12,0.01,0.01,0.158,0.003,0.003,,,,,,,,,,,,M,,,,2M 1938+4603.xml
2M 2140+16,2M 2140+16|2MASS J21402931+1625183,0.08,,,0.1,,,,,,,,,,,2300.0,,,M8.5/L2,,,,2M 2140+16.xml
2M 2206-20,2M 2206-20|2MASS J22062280-2047058,0.13,,,0.11,,,,,,,,,,,2350.0,,,M8,19.788,0.203,0.203,2M 2206-20.xml
2M1207,2M1207|2MASS J12073346-3932539,0.025,,,,,,,,,,,,,,2550.0,,,M8,20.15,,,2M1207.xml
2MASS J01225093-2439505 A,2MASS J01225093-2439505 A|2MASS 0122-2439 A,0.40,0.05,0.05,,,,0.120,0.010,0.010,,,,,,,,,M3.5,14.24,0.07,0.07,2MASS 0122-2439.xml
2MASS J0219-3925,2MASS J0219-3925|2MASS J0219-3925 A|2MASS J02192210-3925225|2MASS J02192210-3925225 A,0.108,0.011,0.011,0.281,0.013,0.013,,,,0.030,0.040,,,,3064,76,76,M6g,,,,2MASS J0219-3925.xml
30 Ari Aa,30 Ari Aa|30 Arietis Aa,1.31,0.04,0.04,1.37,0.03,0.03,0.86,0.63,0.63,,,,,,6462,,,F5V,6.48,,,30 Ari.xml
30 Ari Ab,30 Ari Ab|30 Arietis Ab,0.14,,,,,,,,,,,,,,,,,,,,,30 Ari.xml
30 Ari B,30 Ari B|30 Arietis B|HD 16232|HIP 12184|TYC 1771-1397-1|SAO 75470|HR 764|BD+24 375|2MASS J02365772+2438530|WDS J02370+2439 B,1.16,0.04,0.04,1.13,0.03,0.03,0.91,0.83,0.83,,,0.07,,,6424,,,F8V,7.091,,,30 Ari.xml
30 Ari C,30 Ari C|30 Arietis C|WDS J02370+2439 C,0.50,,,,,,,,,,,,,,,,,M1V,,,,30 Ari.xml
4 UMa,4 UMa|4 Ursae Majoris|pi.02 UMa|Pi-2 Ursae Majoris|p2 Ursae Majoris|HD 73108|HIP 42527|TYC 4130-2355-1|SAO 14616|BD+64 698|HR 3404|2MASS J08401279+6419405,1.234,0.15,0.15,18.11,1.47,1.47,4.604,2.0,2.0,,,-0.25,0.04,0.04,4415,70,70,K1III,5.787,0.005,0.005,4 UMa.xml
42 Dra,42 Dra|42 Draconis|HD 170693|HIP 90344|TYC 4222-2311-1|SAO 17888|HR 6945|BD+65 1271|2MASS J18255915+6533486,0.98,0.05,0.05,22.03,1.00,1.00,9.49,1.76,1.76,,,-0.46,0.05,0.05,4200,70,70,K1.5III,4.833,,,42 Dra.xml
47 UMa,47 UMa|47 Ursae Majoris|HD 95128|HIP 53721|TYC 3009-2703-1|SAO 43557|HR 4277|Gliese 407|GJ 407|BD+41 2147|2MASS J10592802+4025485,1.063,0.022,0.029,1.24,0.04,0.04,6.48,1.04,1.44,,,-0.019,,,5818.7,,,G0V,5.04,,,47 UMa.xml
