Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
11 Com,11com,12 20 43,+17 47 34,88.9,1.7,1.7,11 Com.xml
11 UMi,11umi,15 17 05.88899,+71 49 26.0466,122.1,2.8,2.8,11 UMi.xml
14 And,14and,23 31 17.41346,+39 14 10.3092,79.2,1.7,1.7,14 And.xml
14 Her,14her,16 10 23,+43 49 18,18.1,,,14 Her.xml
16 Cygni,16cygni,19 41 48.95343,+50 31 30.2153,21.146,0.016,0.016,16 Cygni.xml
18 Del,18del,20 58 25.93397,+10 50 21.4289,75.3,1.8,1.8,18 Del.xml
1RXS1609,1rxs1609,16 09 30,-21 04 58,145,14,14,1RXS1609.xml
1SWASP J1407,1swaspj1407,14 07 47.93,-39 45 42.7,133,12,12,1SWASP J1407.xml
24 Sex,24sex,10 23 28.370,-00 54 08.09,74.8,4.9,4.9,24 Sex.xml
2M 044144,2m044144,04 41 45.652,+23 01 58.07,145,15,15,2M 044144.xml
2M 0746+20,2m0746+20|2massj07464256+2000321,07 46 42.562,+20 00 32.18,12.21,,,2M 0746+20.xml
2M 1938+4603,2m1938+4603,19 38 32.6,+46 03 59,,,,2M 1938+4603.xml
2M 2140+16,2m2140+16|2massj21402931+1625183,21 40 29,+16 25 18,25,,,2M 2140+16.xml
2M 2206-20,2m2206-20|2massj22062280-2047058,22 06 22.802,-20 47 05.90,26.67,,,2M 2206-20.xml
2M1207,2m1207|2massj12073346-3932539,12 07 33,-39 32 54,59,7,7,2M1207.xml
2MASS 0122-2439,2mass0122-2439,01 22 50.938,-24 39 50.65,36,4,4,2MASS 0122-2439.xml
2MASS J0219-3925,2massj0219-3925,02 19 22.10,-39 25 22.5,39.4,2.6,2.6,2MASS J0219-3925.xml
30 Ari,30ari,02 37 00.52363,+24 38 49.9957,41.8,,,30 Ari.xml
4 UMa,4uma,08 40 12.81767,+64 19 40.5700,78.5,,,4 UMa.xml
42 Dra,42dra,18 25 59.13734,+65 33 48.5288,96.5,1.9,1.9,42 Dra.xml
47 UMa,47uma,10 59 27.97282,+40 25 48.9202,14.063,0.049,0.049,47 UMa.xml
51 Eri,51eri,04 37 36.13234,-02 28 24.7749,29.4,0.3,0.3,51 Eri.xml
51 Peg,51peg,22 57 27,+20 46 07,14.7,,,51 Peg.xml
55 Cancri,55cancri|55cnc,08 52 35.81093,+28 19 50.9511,12.34,0.11,0.11,55 Cancri.xml
6 Lyn,6lyn,06 30 47.10797,+58 09 45.4809,55.8,1.5,1.5,6 Lyn.xml
61 Vir,61vir,13 18 24.31427,-18 18 40.3047,8.52,0.05,0.05,61 Vir.xml
