Name,Category,Attribute,OEC value,EU value,NASA value,source
1RXS1609 b,planet,Mass [Mjup] lowerlimit,13,3.0,,1RXS1609.xml
1RXS1609 b,planet,Mass [Mjup] upperlimit,16,2.0,,1RXS1609.xml
1SWASP J1407 b,planet,Mass [Mjup],14.0,20.0,,1SWASP J1407.xml
1SWASP J1407 b,planet,Discovery year,2007,2012,,1SWASP J1407.xml
24 Sex c,planet,Orbital period [days] errorminus,13.8,14.0,,24 Sex.xml
24 Sex c,planet,Orbital period [days] errorplus,32.4,32.0,,24 Sex.xml
30 Ari B b,planet,Mass [Mjup],6.6,9.88,,30 Ari.xml
30 Ari B b,planet,Mass [Mjup] errorminus,0.9,0.94,,30 Ari.xml
30 Ari B b,planet,Mass [Mjup] errorplus,0.9,0.94,,30 Ari.xml
30 Ari B b,planet,Orbital period [days],345.4,335.1,,30 Ari.xml
30 Ari B b,planet,Orbital period [days] errorminus,3.8,2.5,,30 Ari.xml
30 Ari B b,planet,Orbital period [days] errorplus,3.8,2.5,,30 Ari.xml
30 Ari B b,planet,Eccentricity,0.18,0.289,,30 Ari.xml
30 Ari B b,planet,Eccentricity errorminus,0.11,0.092,,30 Ari.xml
30 Ari B b,planet,Eccentricity errorplus,0.11,0.092,,30 Ari.xml
51 Eri b,planet,Orbital period [days] errorminus,4400,4380.0,,51 Eri.xml
51 Eri b,planet,Orbital period [days] errorplus,12800,12775.0,,51 Eri.xml
51 Eri b,planet,Eccentricity errorplus,0.19,0.15,,51 Eri.xml
51 Peg b,planet,Eccentricity,0,0.0069,,51 Peg.xml
55 Cnc b,planet,Mass [Mjup],0.8306,0.8,,55 Cancri.xml
55 Cnc b,planet,Mass [Mjup] errorminus,0.0033,0.012,,55 Cancri.xml
55 Cnc b,planet,Mass [Mjup] errorplus,0.0033,0.012,,55 Cancri.xml
55 Cnc b,planet,Orbital period [days],14.65152,14.651,,55 Cancri.xml
55 Cnc b,planet,Orbital period [days] errorminus,0.00015,0.0001,,55 Cancri.xml
55 Cnc b,planet,Orbital period [days] errorplus,0.00015,0.0001,,55 Cancri.xml
55 Cnc b,planet,Eccentricity,0.0034,0.0159,,55 Cancri.xml
55 Cnc b,planet,Eccentricity errorminus,0.0032,0.008,,55 Cancri.xml
55 Cnc b,planet,Eccentricity errorplus,0.0032,0.008,,55 Cancri.xml
55 Cnc c,planet,Mass [Mjup],0.1714,0.169,,55 Cancri.xml
55 Cnc c,planet,Mass [Mjup] errorminus,0.0055,0.008,,55 Cancri.xml
55 Cnc c,planet,Mass [Mjup] errorplus,0.0055,0.008,,55 Cancri.xml
55 Cnc c,planet,Orbital period [days],44.4175,44.3446,,55 Cancri.xml
55 Cnc c,planet,Orbital period [days] errorminus,0.000073,0.007,,55 Cancri.xml
55 Cnc c,planet,Orbital period [days] errorplus,0.000073,0.007,,55 Cancri.xml
55 Cnc c,planet,Eccentricity,0.020,0.053,,55 Cancri.xml
55 Cnc d,planet,Mass [Mjup],3.878,4.802,,55 Cancri.xml
55 Cnc d,planet,Mass [Mjup] errorminus,0.068,0.4573,,55 Cancri.xml
55 Cnc d,planet,Mass [Mjup] errorplus,0.068,0.6223,,55 Cancri.xml
55 Cnc d,planet,Orbital period [days],4825,5218.0,,55 Cancri.xml
55 Cnc d,planet,Orbital period [days] errorminus,39,230.0,,55 Cancri.xml
55 Cnc d,planet,Orbital period [days] errorplus,39,230.0,,55 Cancri.xml
55 Cnc d,planet,Eccentricity,0.019,0.025,,55 Cancri.xml
55 Cnc d,planet,Eccentricity errorminus,0.013,0.03,,55 Cancri.xml
55 Cnc d,planet,Eccentricity errorplus,0.013,0.03,,55 Cancri.xml
55 Cnc e,planet,Mass [Mjup],0.0254,0.0262621097297,,55 Cancri.xml
55 Cnc e,planet,Mass [Mjup] errorminus,0.00098,0.0012878946042,,55 Cancri.xml
55 Cnc e,planet,Mass [Mjup] errorplus,0.00098,0.00137264299634,,55 Cancri.xml
55 Cnc e,planet,Radius [Rjup],0.1746,0.177536225419,,55 Cancri.xml
55 Cnc e,planet,Radius [Rjup] errorminus,0.0073,0.00713713469022159,,55 Cancri.xml
55 Cnc e,planet,Radius [Rjup] errorplus,0.0073,0.00713713469022159,,55 Cancri.xml
55 Cnc e,planet,Orbital period [days],0.7365515,0.7365417,,55 Cancri.xml
55 Cnc e,planet,Orbital period [days] errorminus,0.0000015,2.8e-06,,55 Cancri.xml
55 Cnc e,planet,Orbital period [days] errorplus,0.0000015,2.8e-06,,55 Cancri.xml
55 Cnc e,planet,Eccentricity,0.040,0.06,,55 Cancri.xml
55 Cnc e,planet,Eccentricity errorminus,0.027,inf,,55 Cancri.xml
55 Cnc e,planet,Eccentricity errorplus,0.027,nan,,55 Cancri.xml
55 Cnc f,planet,Mass [Mjup],0.141,0.144,,55 Cancri.xml
