Name,Category,Attribute,OEC value,EU value,NASA value,source
11 UMi,star,Visual magnitude,5.024,5.02,,11 UMi.xml
14 And,star,Mass [MSun] errorplus,0.1,0.2,,14 And.xml
14 Her,star,Mass [MSun],1.0,0.9,,14 Her.xml
16 Cygni B,star,Mass [MSun],1.07,1.01,,16 Cygni.xml
16 Cygni B,star,Mass [MSun] errorminus,0.02,0.04,,16 Cygni.xml
16 Cygni B,star,Mass [MSun] errorplus,0.02,0.04,,16 Cygni.xml
16 Cygni B,star,Radius [RSun],1.127,0.98,,16 Cygni.xml
16 Cygni B,star,Radius [RSun] errorminus,0.007,0.13,,16 Cygni.xml
16 Cygni B,star,Radius [RSun] errorplus,0.007,0.13,,16 Cygni.xml
16 Cygni B,star,Age [Gyr],6.8,8.0,,16 Cygni.xml
16 Cygni B,star,Age [Gyr] errorminus,0.4,1.8,,16 Cygni.xml
16 Cygni B,star,Age [Gyr] errorplus,0.4,1.8,,16 Cygni.xml
16 Cygni B,star,Metallicity [Fe/H],0.052,0.08,,16 Cygni.xml
16 Cygni B,star,Metallicity [Fe/H] errorminus,0.021,0.04,,16 Cygni.xml
16 Cygni B,star,Metallicity [Fe/H] errorplus,0.021,0.04,,16 Cygni.xml
16 Cygni B,star,Temperature [K],5750,5766.0,,16 Cygni.xml
16 Cygni B,star,Temperature [K] errorminus,50,60.0,,16 Cygni.xml
16 Cygni B,star,Temperature [K] errorplus,50,60.0,,16 Cygni.xml
18 Del,star,Visual magnitude,5.522,5.52,,18 Del.xml
2M0441+2301 Aa,star,Mass [MSun],0.2,0.02,,2M 044144.xml
2M 1938+4603 A,star,Mass [MSun],0.48,0.6,,2M 1938+4603.xml
30 Ari B,star,Mass [MSun],1.16,1.22,,30 Ari.xml
30 Ari B,star,Mass [MSun] errorminus,0.04,0.08,,30 Ari.xml
30 Ari B,star,Mass [MSun] errorplus,0.04,0.08,,30 Ari.xml
30 Ari B,star,Radius [RSun],1.13,1.23,,30 Ari.xml
30 Ari B,star,Radius [RSun] errorminus,0.03,0.07,,30 Ari.xml
30 Ari B,star,Radius [RSun] errorplus,0.03,0.07,,30 Ari.xml
30 Ari B,star,Age [Gyr] errorminus,0.83,0.03,,30 Ari.xml
30 Ari B,star,Age [Gyr] errorplus,0.83,0.03,,30 Ari.xml
30 Ari B,star,Metallicity [Fe/H],0.07,0.12,,30 Ari.xml
30 Ari B,star,Temperature [K],6424,6484.0,,30 Ari.xml
30 Ari B,star,Visual magnitude,7.091,7.1,,30 Ari.xml
4 UMa,star,Visual magnitude,5.787,5.79,,4 UMa.xml
42 Dra,star,Visual magnitude,4.833,4.83,,42 Dra.xml
47 UMa,star,Mass [MSun],1.063,1.03,,47 UMa.xml
47 UMa,star,Mass [MSun] errorminus,0.022,0.05,,47 UMa.xml
47 UMa,star,Mass [MSun] errorplus,0.029,0.05,,47 UMa.xml
47 UMa,star,Age [Gyr],6.48,7.4,,47 UMa.xml
47 UMa,star,Age [Gyr] errorminus,1.04,1.9,,47 UMa.xml
47 UMa,star,Age [Gyr] errorplus,1.44,1.9,,47 UMa.xml
47 UMa,star,Metallicity [Fe/H],-0.019,0.0,,47 UMa.xml
47 UMa,star,Temperature [K],5818.7,5892.0,,47 UMa.xml
47 UMa,star,Visual magnitude,5.04,5.1,,47 UMa.xml
55 Cancri A,star,Mass [MSun],0.960,0.905,,55 Cancri.xml
55 Cancri A,star,Mass [MSun] errorminus,0.067,0.015,,55 Cancri.xml
55 Cancri A,star,Mass [MSun] errorplus,0.067,0.015,,55 Cancri.xml
55 Cancri A,star,Radius [RSun],0.960,0.943,,55 Cancri.xml
55 Cancri A,star,Radius [RSun] errorminus,0.018,0.01,,55 Cancri.xml
55 Cancri A,star,Radius [RSun] errorplus,0.018,0.01,,55 Cancri.xml
55 Cancri A,star,Metallicity [Fe/H],0.3,0.31,,55 Cancri.xml
55 Cancri A,star,Metallicity [Fe/H] errorminus,0.1,0.04,,55 Cancri.xml
55 Cancri A,star,Metallicity [Fe/H] errorplus,0.1,0.04,,55 Cancri.xml
55 Cancri A,star,Temperature [K],5219,5196.0,,55 Cancri.xml
