Name,Category,Attribute,OEC value,EU value,NASA value,source
11 Com,system,Distance [parsec],88.9,110.6,,11 Com.xml
11 Com,system,Distance errorminus,1.7,10.5,,11 Com.xml
11 Com,system,Distance errorplus,1.7,10.5,,11 Com.xml
11 UMi,system,Distance [parsec],122.1,119.5,,11 UMi.xml
11 UMi,system,Distance errorminus,2.8,6.9,,11 UMi.xml
11 UMi,system,Distance errorplus,2.8,6.9,,11 UMi.xml
14 And,system,Distance [parsec],79.2,76.4,,14 And.xml
14 And,system,Distance errorminus,1.7,4.1,,14 And.xml
14 And,system,Distance errorplus,1.7,4.1,,14 And.xml
18 Del,system,Distance [parsec],75.3,73.1,,18 Del.xml
18 Del,system,Distance errorminus,1.8,3.5,,18 Del.xml
18 Del,system,Distance errorplus,1.8,3.5,,18 Del.xml
42 Dra,system,Distance [parsec],96.5,97.3,,42 Dra.xml
42 Dra,system,Distance errorminus,1.9,5.0,,42 Dra.xml
42 Dra,system,Distance errorplus,1.9,5.0,,42 Dra.xml
47 UMa,system,Distance [parsec],14.063,13.97,,47 UMa.xml
47 UMa,system,Distance errorminus,0.049,1.91,,47 UMa.xml
47 UMa,system,Distance errorplus,0.049,1.91,,47 UMa.xml
55 Cancri,system,Distance errorminus,0.11,0.4,,55 Cancri.xml
55 Cancri,system,Distance errorplus,0.11,0.4,,55 Cancri.xml
6 Lyn,system,Distance [parsec],55.8,56.9,,6 Lyn.xml
6 Lyn,system,Distance errorminus,1.5,2.5,,6 Lyn.xml
6 Lyn,system,Distance errorplus,1.5,2.5,,6 Lyn.xml
70 Vir,system,Distance [parsec],18.1,22.0,,70 Vir.xml
75 Cet,system,Distance [parsec],81.4,81.5,,75 Cet.xml
75 Cet,system,Distance errorminus,3.0,7.51,,75 Cet.xml
75 Cet,system,Distance errorplus,3.0,7.51,,75 Cet.xml
81 Cet,system,Distance [parsec],92.5,97.2,,81 Cet.xml
81 Cet,system,Distance errorminus,3.9,9.2,,81 Cet.xml
81 Cet,system,Distance errorplus,3.9,9.2,,81 Cet.xml
AB Pic,system,Distance [parsec],45.5,47.3,,AB Pic.xml
AB Pic,system,Distance errorminus,1.7,1.8,,AB Pic.xml
BD+14 4559,system,Distance [parsec],48.36,50.0,,BD+14 4559.xml
BD+14 4559,system,Distance errorminus,2.90,4.0,,BD+14 4559.xml
