Name,Category,Attribute,OEC value,EU value,NASA value,source
Kepler-139 c,planet,Radius [Rjup],0.30802,,0.302,Kepler-139.xml
Kepler-139 c,planet,Radius [Rjup] errorminus,0.06288,,0.062,Kepler-139.xml
Kepler-139 c,planet,Radius [Rjup] errorplus,0.06288,,0.062,Kepler-139.xml
Kepler-140 c,planet,Radius [Rjup],0.16403,,0.161,Kepler-140.xml
Kepler-140 c,planet,Radius [Rjup] errorminus,0.03190,,0.031,Kepler-140.xml
Kepler-140 c,planet,Radius [Rjup] errorplus,0.03190,,0.031,Kepler-140.xml
Kepler-141 b,planet,Radius [Rjup],0.06288,,0.062,Kepler-141.xml
Kepler-141 b,planet,Radius [Rjup] errorminus,0.00456,,0.004,Kepler-141.xml
Kepler-141 b,planet,Radius [Rjup] errorplus,0.00456,,0.004,Kepler-141.xml
Kepler-141 c,planet,Radius [Rjup],0.12849,,0.126,Kepler-141.xml
Kepler-141 c,planet,Radius [Rjup] errorminus,0.00820,,0.008,Kepler-141.xml
Kepler-141 c,planet,Radius [Rjup] errorplus,0.00820,,0.008,Kepler-141.xml
Kepler-142 c,planet,Radius [Rjup],0.26063,,0.255,Kepler-142.xml
Kepler-142 c,planet,Radius [Rjup] errorminus,0.05012,,0.049,Kepler-142.xml
Kepler-142 c,planet,Radius [Rjup] errorplus,0.05012,,0.049,Kepler-142.xml
Kepler-142 d,planet,Radius [Rjup],0.19684,,0.193,Kepler-142.xml
Kepler-142 d,planet,Radius [Rjup] errorminus,0.04283,,0.042,Kepler-142.xml
Kepler-142 d,planet,Radius [Rjup] errorplus,0.04283,,0.042,Kepler-142.xml
Kepler-143 b,planet,Radius [Rjup],0.21962,,0.215,Kepler-143.xml
Kepler-143 b,planet,Radius [Rjup] errorminus,0.05468,,0.054,Kepler-143.xml
Kepler-143 b,planet,Radius [Rjup] errorplus,0.05468,,0.054,Kepler-143.xml
Kepler-143 c,planet,Radius [Rjup],0.30711,,0.301,Kepler-143.xml
Kepler-143 c,planet,Radius [Rjup] errorminus,0.07655,,0.075,Kepler-143.xml
Kepler-143 c,planet,Radius [Rjup] errorplus,0.07655,,0.075,Kepler-143.xml
Kepler-144 b,planet,Radius [Rjup],0.12120,,0.119,Kepler-144.xml
Kepler-144 b,planet,Radius [Rjup] errorminus,0.02369,,0.023,Kepler-144.xml
Kepler-144 b,planet,Radius [Rjup] errorplus,0.02369,,0.023,Kepler-144.xml
Kepler-144 c,planet,Radius [Rjup],0.12303,,0.120,Kepler-144.xml
Kepler-144 c,planet,Radius [Rjup] errorminus,0.02369,,0.023,Kepler-144.xml
Kepler-144 c,planet,Radius [Rjup] errorplus,0.02369,,0.023,Kepler-144.xml
KOI-370.02,planet,Radius [Rjup],0.228,,0.236,KOI-370.xml
KOI-370.02,planet,Radius [Rjup] errorminus,0.025,,0.007,KOI-370.xml
KOI-370.02,planet,Radius [Rjup] errorplus,0.025,,0.007,KOI-370.xml
KOI-370.02,planet,Orbital period [days],22.95102,,22.95100000,KOI-370.xml
KOI-370.02,planet,Discovery year,2013,,2014,KOI-370.xml
KOI-370.01,planet,Radius [Rjup],0.350,,0.385,KOI-370.xml
KOI-370.01,planet,Radius [Rjup] errorminus,0.010,,0.011,KOI-370.xml
KOI-370.01,planet,Radius [Rjup] errorplus,0.010,,0.011,KOI-370.xml
KOI-370.01,planet,Orbital period [days],42.88254,,42.88200000,KOI-370.xml
KOI-370.01,planet,Discovery year,2013,,2014,KOI-370.xml
Kepler-146 b,planet,Radius [Rjup],0.33809,,0.331,Kepler-146.xml
Kepler-146 b,planet,Radius [Rjup] errorminus,0.06379,,0.062,Kepler-146.xml
Kepler-146 b,planet,Radius [Rjup] errorplus,0.06379,,0.062,Kepler-146.xml
Kepler-146 c,planet,Radius [Rjup],0.28524,,0.279,Kepler-146.xml
Kepler-146 c,planet,Radius [Rjup] errorminus,0.05377,,0.053,Kepler-146.xml
Kepler-146 c,planet,Radius [Rjup] errorplus,0.05377,,0.053,Kepler-146.xml
Kepler-147 b,planet,Radius [Rjup],0.13943,,0.136,Kepler-147.xml
Kepler-147 b,planet,Radius [Rjup] errorminus,0.02825,,0.028,Kepler-147.xml
Kepler-147 b,planet,Radius [Rjup] errorplus,0.02825,,0.028,Kepler-147.xml
Kepler-147 c,planet,Radius [Rjup],0.22145,,0.217,Kepler-147.xml
Kepler-147 c,planet,Radius [Rjup] errorminus,0.04465,,0.044,Kepler-147.xml
Kepler-147 c,planet,Radius [Rjup] errorplus,0.04465,,0.044,Kepler-147.xml
Kepler-148 b,planet,Radius [Rjup],0.16403,,0.161,Kepler-148.xml
Kepler-148 b,planet,Radius [Rjup] errorminus,0.07928,,0.078,Kepler-148.xml
Kepler-148 b,planet,Radius [Rjup] errorplus,0.07928,,0.078,Kepler-148.xml
Kepler-148 c,planet,Radius [Rjup],0.32807,,0.321,Kepler-148.xml
Kepler-148 c,planet,Radius [Rjup] errorminus,0.06926,,0.157,Kepler-148.xml
Kepler-148 c,planet,Radius [Rjup] errorplus,0.16039,,0.157,Kepler-148.xml
Kepler-149 b,planet,Radius [Rjup],0.38366,,0.376,Kepler-149.xml
Kepler-149 b,planet,Radius [Rjup] errorminus,0.05468,,0.054,Kepler-149.xml
Kepler-149 b,planet,Radius [Rjup] errorplus,0.05468,,0.054,Kepler-149.xml
Kepler-149 c,planet,Radius [Rjup],0.14672,,0.144,Kepler-149.xml
Kepler-149 c,planet,Radius [Rjup] errorminus,0.02187,,0.021,Kepler-149.xml
Kepler-149 c,planet,Radius [Rjup] errorplus,0.02187,,0.021,Kepler-149.xml
Kepler-149 d,planet,Radius [Rjup],0.36088,,0.353,Kepler-149.xml
Kepler-149 d,planet,Radius [Rjup] errorminus,0.06197,,0.061,Kepler-149.xml
Kepler-149 d,planet,Radius [Rjup] errorplus,0.06197,,0.061,Kepler-149.xml
Kepler-150 b,planet,Radius [Rjup],0.11391,,0.112,Kepler-150.xml
Kepler-150 b,planet,Radius [Rjup] errorminus,0.01731,,0.017,Kepler-150.xml
Kepler-150 b,planet,Radius [Rjup] errorplus,0.01731,,0.017,Kepler-150.xml
Kepler-150 d,planet,Radius [Rjup],0.25425,,0.249,Kepler-150.xml
Kepler-150 d,planet,Radius [Rjup] errorminus,0.03736,,0.037,Kepler-150.xml
Kepler-150 d,planet,Radius [Rjup] errorplus,0.03736,,0.037,Kepler-150.xml
Kepler-150 e,planet,Radius [Rjup],0.28433,,0.278,Kepler-150.xml
Kepler-150 e,planet,Radius [Rjup] errorminus,0.05012,,0.049,Kepler-150.xml
Kepler-150 e,planet,Radius [Rjup] errorplus,0.05012,,0.049,Kepler-150.xml
Kepler-151 b,planet,Radius [Rjup],0.27886,,0.273,Kepler-151.xml
Kepler-151 b,planet,Radius [Rjup] errorminus,0.04830,,0.136,Kepler-151.xml
Kepler-151 b,planet,Radius [Rjup] errorplus,0.13943,,0.136,Kepler-151.xml
HAT-P-46 b,planet,Discovery year,2013,,2014,HAT-P-46.xml
HAT-P-54 b,planet,Discovery year,2014,,2015,HAT-P-54.xml
HATS-3 b,planet,Mass [Mjup],1.138,,1.07100,HATS-3.xml
HATS-3 b,planet,Mass [Mjup] errorminus,0.152,,0.13600,HATS-3.xml
HATS-3 b,planet,Mass [Mjup] errorplus,0.152,,0.13600,HATS-3.xml
HATS-3 b,planet,Radius [Rjup],1.697,,1.381,HATS-3.xml
HATS-3 b,planet,Radius [Rjup] errorminus,0.238,,0.035,HATS-3.xml
HATS-3 b,planet,Radius [Rjup] errorplus,0.238,,0.035,HATS-3.xml
HATS-3 b,planet,Orbital period [days],3.547849,,3.54785100,HATS-3.xml
HATS-3 b,planet,Eccentricity,0.253,,0.000000,HATS-3.xml
HATS-3 b,planet,Equilibrium temperature [K],1816,,1648,HATS-3.xml
HATS-3 b,planet,Equilibrium temperature [K] errorminus,127,,24,HATS-3.xml
HATS-3 b,planet,Equilibrium temperature [K] errorplus,127,,24,HATS-3.xml
HATS-6 b,planet,Equilibrium temperature [K],712.8,,713,HATS-6.xml
HATS-6 b,planet,Equilibrium temperature [K] errorminus,5.1,,5,HATS-6.xml
HATS-6 b,planet,Equilibrium temperature [K] errorplus,5.1,,5,HATS-6.xml
HATS-6 b,planet,Discovery year,2014,,2015,HATS-6.xml
HD 142 A b,planet,Discovery year,2001,,2002,HD 142.xml
HD 1690 b,planet,Discovery year,2010,,2011,HD 1690.xml
HD 2039 b,planet,Mass [Mjup],4.9,,6.11000,HD 2039.xml
HD 2039 b,planet,Orbital period [days],1183,,1120.00000000,HD 2039.xml
HD 2039 b,planet,Eccentricity,0.67,,0.715000,HD 2039.xml
HD 2039 b,planet,Discovery year,2002,,2003,HD 2039.xml
HD 3651 b,planet,Mass [Mjup],0.2,,0.22900,HD 3651.xml
HD 3651 b,planet,Orbital period [days],62.23,,62.21800000,HD 3651.xml
HD 3651 b,planet,Eccentricity,0.63,,0.596000,HD 3651.xml
HD 4113 b,planet,Discovery year,2007,,2008,HD 4113.xml
HD 4203 b,planet,Discovery year,2001,,2002,HD 4203.xml
HD 4208 b,planet,Mass [Mjup],0.8,,0.80400,HD 4208.xml
HD 4208 b,planet,Orbital period [days],829,,828.00000000,HD 4208.xml
HD 4208 b,planet,Eccentricity,0.04,,0.052000,HD 4208.xml
HD 4208 b,planet,Discovery year,2001,,2002,HD 4208.xml
HD 4308 b,planet,Mass [Mjup],0.0405,,0.04420,HD 4308.xml
HD 4308 b,planet,Orbital period [days],15.609,,15.56000000,HD 4308.xml
HD 4308 b,planet,Eccentricity,0.27,,0.000000,HD 4308.xml
HD 4308 b,planet,Discovery year,2005,,2006,HD 4308.xml
HD 4732 b,planet,Discovery year,2012,,2013,HD 4732.xml
HD 4732 c,planet,Discovery year,2012,,2013,HD 4732.xml
HD 5319 c,planet,Discovery year,2014,,2015,HD 5319.xml
HD 6434 b,planet,Discovery year,2000,,2004,HD 6434.xml
HD 103197 b,planet,Discovery year,2009,,2011,HD 103197.xml
HD 103720 b,planet,Discovery year,2014,,2015,HD 103720.xml
HD 104067 b,planet,Discovery year,2009,,2011,HD 104067.xml
HD 106515 A b,planet,Discovery year,2011,,2013,HD 106515 A.xml
HD 106906 b,planet,Discovery year,2013,,2014,HD 106906.xml
HD 108341 b,planet,Discovery year,2014,,2015,HD 108341.xml
HD 108874 b,planet,Mass [Mjup],1.36,,1.29000,HD 108874.xml
HD 108874 b,planet,Orbital period [days],395.4,,395.80000000,HD 108874.xml
HD 108874 b,planet,Eccentricity,0.07,,0.082000,HD 108874.xml
HD 108874 c,planet,Mass [Mjup],1.018,,0.99000,HD 108874.xml
HD 108874 c,planet,Orbital period [days],1605.8,,1624.00000000,HD 108874.xml
HD 108874 c,planet,Eccentricity,0.25,,0.239000,HD 108874.xml
HD 109749 A b,planet,Discovery year,2005,,2006,HD 109749.xml
HD 113538 b,planet,Orbital period [days] errorplus,7.4,,8.40000000,HD 113538.xml
HD 113538 b,planet,Discovery year,2010,,2011,HD 113538.xml
HD 113538 c,planet,Discovery year,2010,,2011,HD 113538.xml
HD 114386 b,planet,Orbital period [days],937,,937.70000000,HD 114386.xml
HD 114386 b,planet,Discovery year,2003,,2004,HD 114386.xml
HD 114762 b,planet,Discovery year,1992,,1989,HD 114762.xml
HD 114729 A b,planet,Mass [Mjup],0.84,,0.95000,HD 114729.xml
HD 114729 A b,planet,Orbital period [days],1135,,1114.00000000,HD 114729.xml
HD 114729 A b,planet,Eccentricity,0.32,,0.167000,HD 114729.xml
HD 114729 A b,planet,Discovery year,2002,,2003,HD 114729.xml
HD 116029 b,planet,Orbital period [days],670.2,,670.00000000,HD 116029.xml
HD 116029 b,planet,Eccentricity,0,,0.054000,HD 116029.xml
HD 117207 b,planet,Mass [Mjup],2.06,,1.88000,HD 117207.xml
HD 117207 b,planet,Orbital period [days],2627.08,,2597.00000000,HD 117207.xml
HD 117207 b,planet,Eccentricity,0.16,,0.144000,HD 117207.xml
HD 117207 b,planet,Discovery year,2004,,2005,HD 117207.xml
HD 121504 b,planet,Discovery year,2003,,2004,HD 121504.xml
HD 125612 b,planet,Orbital period [days],502,,559.40000000,HD 125612.xml
Kepler-20 b,planet,Equilibrium temperature [K],1092.1,,1014,Kepler-20.xml
Kepler-20 b,planet,Discovery year,2011,,2012,Kepler-20.xml
Kepler-20 c,planet,Radius [Rjup],0.27,,0.274,Kepler-20.xml
Kepler-20 c,planet,Equilibrium temperature [K],759.9,,713,Kepler-20.xml
Kepler-20 c,planet,Discovery year,2011,,2012,Kepler-20.xml
Kepler-20 d,planet,Mass [Mjup],0.06,,0.06300,Kepler-20.xml
Kepler-20 d,planet,Radius [Rjup],0.25,,0.245,Kepler-20.xml
Kepler-20 d,planet,Orbital period [days],77.61185,,77.61184000,Kepler-20.xml
Kepler-20 d,planet,Equilibrium temperature [K],388.6,,369,Kepler-20.xml
Kepler-20 d,planet,Discovery year,2011,,2012,Kepler-20.xml
Kepler-20 f,planet,Radius [Rjup],0.093,,0.092,Kepler-20.xml
Kepler-20 f,planet,Equilibrium temperature [K],706.0,,705,Kepler-20.xml
Kepler-20 f,planet,Discovery year,2011,,2012,Kepler-20.xml
