Name,Category,Attribute,OEC value,EU value,NASA value,source
Kepler-139,star,Mass [MSun],1.0840,,1.08,Kepler-139.xml
Kepler-139,star,Radius [RSun] errorminus,.251,,0.25,Kepler-139.xml
Kepler-139,star,Radius [RSun] errorplus,0.251,,0.25,Kepler-139.xml
Kepler-140,star,Radius [RSun],1.288,,1.29,Kepler-140.xml
Kepler-140,star,Radius [RSun] errorminus,.244,,0.24,Kepler-140.xml
Kepler-140,star,Radius [RSun] errorplus,0.244,,0.24,Kepler-140.xml
Kepler-140,star,Temperature [K] errorminus,36,,136.00,Kepler-140.xml
Kepler-141,star,Mass [MSun],1.0010,,1.00,Kepler-141.xml
Kepler-141,star,Radius [RSun],0.787,,0.79,Kepler-141.xml
Kepler-141,star,Radius [RSun] errorminus,.044,,0.04,Kepler-141.xml
Kepler-141,star,Radius [RSun] errorplus,0.044,,0.04,Kepler-141.xml
Kepler-142,star,Mass [MSun],0.9880,,0.99,Kepler-142.xml
Kepler-142,star,Radius [RSun],1.269,,1.27,Kepler-142.xml
Kepler-142,star,Radius [RSun] errorminus,.245,,0.24,Kepler-142.xml
Kepler-142,star,Radius [RSun] errorplus,0.245,,0.24,Kepler-142.xml
Kepler-143,star,Radius [RSun],1.359,,1.36,Kepler-143.xml
Kepler-143,star,Temperature [K] errorminus,68,,168.00,Kepler-143.xml
Kepler-144,star,Mass [MSun],1.1540,,1.03,Kepler-144.xml
Kepler-144,star,Radius [RSun],1.235,,1.24,Kepler-144.xml
Kepler-144,star,Radius [RSun] errorminus,.237,,0.24,Kepler-144.xml
Kepler-144,star,Radius [RSun] errorplus,0.237,,0.24,Kepler-144.xml
Kepler-144,star,Temperature [K] errorminus,31,,131.00,Kepler-144.xml
Kepler-144,star,Visual magnitude,12.20,,11.992,Kepler-144.xml
Kepler-1450,star,Mass [MSun],0.71,,1.32,Kepler-1450.xml
Kepler-1450,star,Mass [MSun] errorminus,0.04,,0.10,Kepler-1450.xml
Kepler-1450,star,Mass [MSun] errorplus,0.03,,0.10,Kepler-1450.xml
Kepler-1450,star,Radius [RSun],0.68,,1.85,Kepler-1450.xml
Kepler-1450,star,Radius [RSun] errorminus,0.04,,0.05,Kepler-1450.xml
Kepler-1450,star,Radius [RSun] errorplus,0.03,,0.05,Kepler-1450.xml
Kepler-1450,star,Metallicity [Fe/H],-0.02,,-0.674,Kepler-1450.xml
Kepler-1450,star,Temperature [K],4524.0,,6022.00,Kepler-1450.xml
Kepler-146,star,Radius [RSun],1.208,,1.21,Kepler-146.xml
Kepler-146,star,Radius [RSun] errorminus,.226,,0.23,Kepler-146.xml
Kepler-146,star,Radius [RSun] errorplus,0.226,,0.23,Kepler-146.xml
Kepler-147,star,Mass [MSun],0.9800,,1.01,Kepler-147.xml
Kepler-147,star,Radius [RSun],1.468,,1.47,Kepler-147.xml
Kepler-147,star,Radius [RSun] errorminus,.289,,0.29,Kepler-147.xml
Kepler-147,star,Radius [RSun] errorplus,0.289,,0.29,Kepler-147.xml
Kepler-148,star,Radius [RSun],0.851,,0.85,Kepler-148.xml
Kepler-148,star,Radius [RSun] errorminus,.413,,0.41,Kepler-148.xml
Kepler-148,star,Radius [RSun] errorplus,0.413,,0.41,Kepler-148.xml
Kepler-149,star,Radius [RSun],0.953,,0.95,Kepler-149.xml
Kepler-149,star,Radius [RSun] errorminus,.136,,0.14,Kepler-149.xml
Kepler-149,star,Radius [RSun] errorplus,0.136,,0.14,Kepler-149.xml
Kepler-150,star,Radius [RSun],0.939,,0.94,Kepler-150.xml
Kepler-150,star,Radius [RSun] errorminus,.136,,0.14,Kepler-150.xml
Kepler-150,star,Radius [RSun] errorplus,0.136,,0.14,Kepler-150.xml
Kepler-151,star,Mass [MSun],0.8600,,0.83,Kepler-151.xml
Kepler-151,star,Radius [RSun] errorminus,.411,,0.41,Kepler-151.xml
Kepler-151,star,Radius [RSun] errorplus,0.411,,0.41,Kepler-151.xml
HAT-P-46,star,Mass [MSun],1.284,,1.28,HAT-P-46.xml
HAT-P-46,star,Mass [MSun] errorplus,0.095,,0.10,HAT-P-46.xml
HAT-P-46,star,Radius [RSun],1.396,,1.40,HAT-P-46.xml
HAT-P-46,star,Radius [RSun] errorminus,0.136,,0.14,HAT-P-46.xml
HAT-P-46,star,Radius [RSun] errorplus,0.293,,0.29,HAT-P-46.xml
HAT-P-54,star,Mass [MSun],0.645,,0.65,HAT-P-54.xml
HAT-P-54,star,Radius [RSun],0.617,,0.62,HAT-P-54.xml
HAT-P-54,star,Radius [RSun] errorminus,0.013,,0.01,HAT-P-54.xml
HAT-P-54,star,Radius [RSun] errorplus,0.013,,0.01,HAT-P-54.xml
HAT-P-54,star,Visual magnitude,13.505,,13.600,HAT-P-54.xml
HATS-2,star,Radius [RSun],0.89,,0.90,HATS-2.xml
HATS-2,star,Visual magnitude,13.62,,13.562,HATS-2.xml
HATS-2,star,Visual magnitude errorminus,0.06,,0.016,HATS-2.xml
HATS-2,star,Visual magnitude errorplus,0.06,,0.016,HATS-2.xml
HATS-3,star,Mass [MSun],1.300,,1.21,HATS-3.xml
HATS-3,star,Mass [MSun] errorminus,0.088,,0.04,HATS-3.xml
HATS-3,star,Mass [MSun] errorplus,0.088,,0.04,HATS-3.xml
HATS-3,star,Radius [RSun],1.725,,1.40,HATS-3.xml
HATS-3,star,Radius [RSun] errorminus,0.242,,0.03,HATS-3.xml
HATS-3,star,Radius [RSun] errorplus,0.242,,0.03,HATS-3.xml
HATS-3,star,Age [Gyr],3.1,,3.200,HATS-3.xml
HATS-3,star,Age [Gyr] errorplus,0.8,,0.600,HATS-3.xml
HATS-5,star,Mass [MSun],0.936,,0.94,HATS-5.xml
HATS-5,star,Mass [MSun] errorminus,0.028,,0.03,HATS-5.xml
HATS-5,star,Mass [MSun] errorplus,0.028,,0.03,HATS-5.xml
HATS-5,star,Radius [RSun],0.871,,0.87,HATS-5.xml
HATS-5,star,Radius [RSun] errorminus,0.023,,0.02,HATS-5.xml
HATS-5,star,Radius [RSun] errorplus,0.023,,0.02,HATS-5.xml
HATS-6,star,Mass [MSun],0.574,,0.57,HATS-6.xml
HATS-6,star,Mass [MSun] errorminus,0.027,,0.03,HATS-6.xml
HATS-6,star,Radius [RSun] errorminus,0.011,,0.01,HATS-6.xml
HATS-6,star,Radius [RSun] errorplus,0.011,,0.01,HATS-6.xml
HD 142 A,star,Mass [MSun],1.15,,1.23,HD 142.xml
HD 142 A,star,Radius [RSun],1.43,,1.47,HD 142.xml
HD 142 A,star,Metallicity [Fe/H],0.04,,0.090,HD 142.xml
HD 142 A,star,Temperature [K],6249,,6245.00,HD 142.xml
HD 1666,star,Visual magnitude,8.16,,8.170,HD 1666.xml
HD 2039,star,Mass [MSun],0.98,,1.17,HD 2039.xml
HD 2039,star,Metallicity [Fe/H],0.1,,0.315,HD 2039.xml
HD 2039,star,Temperature [K],5947.0,,5941.00,HD 2039.xml
HD 2039,star,Visual magnitude,9.01,,9.000,HD 2039.xml
HD 2638,star,Mass [MSun],0.87,,0.93,HD 2638.xml
HD 2638,star,Visual magnitude,9.44,,9.375,HD 2638.xml
HD 3651,star,Mass [MSun],0.79,,0.88,HD 3651.xml
HD 3651,star,Metallicity [Fe/H],0.05,,0.240,HD 3651.xml
HD 3651,star,Temperature [K],5173.0,,5221.00,HD 3651.xml
HD 3651,star,Visual magnitude,5.8,,5.860,HD 3651.xml
HD 4113,star,Visual magnitude,7.88,,7.881,HD 4113.xml
HD 4203,star,Visual magnitude,8.68,,8.687,HD 4203.xml
HD 4208,star,Temperature [K],5571.0,,5600.00,HD 4208.xml
HD 4208,star,Visual magnitude,7.79,,7.780,HD 4208.xml
HD 4308,star,Mass [MSun],0.85,,0.83,HD 4308.xml
HD 4308,star,Metallicity [Fe/H],-0.34,,-0.310,HD 4308.xml
HD 4308,star,Temperature [K],5597.0,,5685.00,HD 4308.xml
HD 4308,star,Visual magnitude,6.54,,6.560,HD 4308.xml
HD 4732,star,Visual magnitude,2.04,,5.890,HD 4732.xml
HD 5319,star,Radius [RSun],3.26,,3.85,HD 5319.xml
HD 5319,star,Temperature [K],5052.0,,4958.00,HD 5319.xml
HD 5608,star,Visual magnitude,5.999,,5.980,HD 5608.xml
HD 6434,star,Visual magnitude,7.72,,7.710,HD 6434.xml
HD 7199,star,Visual magnitude,8.06,,8.027,HD 7199.xml
HD 103197,star,Visual magnitude,9.41,,9.391,HD 103197.xml
HD 103720,star,Mass [MSun],0.794,,0.79,HD 103720.xml
HD 104067,star,Mass [MSun],0.791,,0.79,HD 104067.xml
HD 104985,star,Visual magnitude,5.797,,5.800,HD 104985.xml
HD 106270,star,Visual magnitude,7.73,,7.577,HD 106270.xml
HD 106515 A,star,Visual magnitude,7.35,,7.972,HD 106515 A.xml
HD 106906,star,Visual magnitude,7.81,,7.797,HD 106906.xml
HD 108147,star,Mass [MSun],1.19,,1.27,HD 108147.xml
HD 108147,star,Metallicity [Fe/H],0.18,,0.200,HD 108147.xml
HD 108147,star,Temperature [K],6067.0,,6265.00,HD 108147.xml
HD 108147,star,Visual magnitude,6.99,,6.995,HD 108147.xml
HD 108341,star,Mass [MSun],0.843,,0.84,HD 108341.xml
HD 108341,star,Mass [MSun] errorminus,0.024,,0.02,HD 108341.xml
HD 108341,star,Mass [MSun] errorplus,0.024,,0.02,HD 108341.xml
HD 108874,star,Mass [MSun],1,,0.95,HD 108874.xml
HD 108874,star,Metallicity [Fe/H],0.14,,0.190,HD 108874.xml
HD 108874,star,Temperature [K],5407.0,,5551.00,HD 108874.xml
HD 109271,star,Mass [MSun],1.047,,1.05,HD 109271.xml
HD 109271,star,Visual magnitude,8.05,,8.055,HD 109271.xml
HD 109749 A,star,Temperature [K],5610.0,,5903.00,HD 109749.xml
HD 109749 A,star,Visual magnitude,8.1,,8.208,HD 109749.xml
HD 111232,star,Visual magnitude,7.61,,7.590,HD 111232.xml
HD 113538,star,Mass [MSun],0.585,,0.58,HD 113538.xml
HD 114386,star,Mass [MSun],0.75,,0.68,HD 114386.xml
HD 114386,star,Temperature [K],4819.0,,4804.00,HD 114386.xml
HD 114762 A,star,Mass [MSun],0.84,,0.83,HD 114762.xml
HD 114762 A,star,Metallicity [Fe/H],-0.71,,-0.774,HD 114762.xml
HD 114762 A,star,Temperature [K],5934.0,,5673.00,HD 114762.xml
HD 114762 A,star,Visual magnitude,7.3,,7.301,HD 114762.xml
HD 114729 A,star,Mass [MSun],0.93,,1.00,HD 114729.xml
HD 114729 A,star,Metallicity [Fe/H],-0.22,,-0.262,HD 114729.xml
HD 114729 A,star,Visual magnitude,6.69,,6.680,HD 114729.xml
HD 117207,star,Mass [MSun],1.07,,1.08,HD 117207.xml
HD 117207,star,Metallicity [Fe/H],0.27,,0.266,HD 117207.xml
HD 117207,star,Temperature [K],5432.0,,5724.00,HD 117207.xml
HD 120084,star,Mass [MSun],2.4,,2.39,HD 120084.xml
HD 120084,star,Visual magnitude,5.910,,5.899,HD 120084.xml
HD 121504,star,Visual magnitude,7.54,,7.517,HD 121504.xml
HD 125612,star,Mass [MSun],1.1,,1.09,HD 125612.xml
HD 125612,star,Metallicity [Fe/H],0.24,,0.230,HD 125612.xml
HD 125612,star,Temperature [K],5897.0,,5900.00,HD 125612.xml
HD 125612,star,Visual magnitude,8.31,,8.317,HD 125612.xml
Kepler-20,star,Mass [MSun],0.912,,0.91,Kepler-20.xml
Kepler-20,star,Radius [RSun],0.944,,0.94,Kepler-20.xml
Kepler-20,star,Metallicity [Fe/H],0.02,,0.010,Kepler-20.xml
Kepler-20,star,Temperature [K],5466.0,,5455.00,Kepler-20.xml
Kepler-20,star,Visual magnitude,12.5,,12.498,Kepler-20.xml
Kepler-21 A,star,Mass [MSun],1.340,,1.41,Kepler-21.xml
Kepler-21 A,star,Mass [MSun] errorminus,0.010,,0.03,Kepler-21.xml
Kepler-21 A,star,Mass [MSun] errorplus,0.010,,0.02,Kepler-21.xml
Kepler-21 A,star,Radius [RSun],1.860,,1.90,Kepler-21.xml
Kepler-21 A,star,Radius [RSun] errorminus,0.020,,0.01,Kepler-21.xml
Kepler-21 A,star,Metallicity [Fe/H],-0.15,,-0.030,Kepler-21.xml
Kepler-21 A,star,Metallicity [Fe/H] errorminus,0.06,,0.100,Kepler-21.xml
