Name,Category,Attribute,OEC value,EU value,NASA value,source
Kepler-139,system,Declination,+43 53 21,,+43 53 21.7,Kepler-139.xml
Kepler-140,system,Right ascension,19 09 28,,19 09 28.67,Kepler-140.xml
Kepler-140,system,Declination,+46 46 05,,+46 46 05.6,Kepler-140.xml
Kepler-142,system,Right ascension,19 40 28,,19 40 28.54,Kepler-142.xml
Kepler-142,system,Declination,+48 28 52,,+48 28 52.6,Kepler-142.xml
Kepler-144,system,Right ascension,18 47 39,,18 47 39.76,Kepler-144.xml
Kepler-144,system,Declination,+42 46 31,,+42 46 31.8,Kepler-144.xml
Kepler-1450,system,Right ascension,19 38 13,,19 25 33.06,Kepler-1450.xml
Kepler-1450,system,Declination,+45 04 53,,+44 31 44.8,Kepler-1450.xml
Kepler-146,system,Right ascension,19 36 26,,19 36 26.58,Kepler-146.xml
Kepler-146,system,Declination,+38 42 36,,+38 42 36.8,Kepler-146.xml
Kepler-147,system,Declination,+39 05 13,,+39 05 13.9,Kepler-147.xml
Kepler-148,system,Right ascension,19 19 08,,19 19 08.69,Kepler-148.xml
Kepler-148,system,Declination,+46 51 31,,+46 51 31.6,Kepler-148.xml
Kepler-149,system,Right ascension,19 03 24,,19 03 24.88,Kepler-149.xml
Kepler-149,system,Declination,+38 23 02,,+38 23 02.8,Kepler-149.xml
Kepler-151,system,Declination,+41 01 23,,+41 01 23.6,Kepler-151.xml
HAT-P-46,system,Distance errorminus,29,,-29.00,HAT-P-46.xml
HAT-P-54,system,Declination,-25 28 57,,+25 28 57.1,HAT-P-54.xml
HAT-P-54,system,Distance errorminus,3.5,,-3.50,HAT-P-54.xml
HATS-2,system,Right ascension,11 46 57.370,,11 46 57.38,HATS-2.xml
HATS-2,system,Declination,-22 21 46.82,,-22 33 46.8,HATS-2.xml
HATS-3,system,Right ascension,20 49 59,,20 49 49.79,HATS-3.xml
HATS-3,system,Distance [parsec],556,,453.00,HATS-3.xml
HATS-3,system,Distance errorminus,78,,-11.00,HATS-3.xml
HATS-3,system,Distance errorplus,78,,11.00,HATS-3.xml
HATS-5,system,Distance errorminus,8,,-8.00,HATS-5.xml
HATS-6,system,Distance [parsec],172.6,,148.40,HATS-6.xml
HATS-6,system,Distance errorminus,5.5,,-3.30,HATS-6.xml
HATS-6,system,Distance errorplus,5.5,,3.30,HATS-6.xml
HD 142,system,Declination,-49 04 30,,-49 04 30.7,HD 142.xml
HD 142,system,Distance [parsec],20.6,,25.64,HD 142.xml
HD 1502,system,Distance [parsec],159,,167.50,HD 1502.xml
HD 1666,system,Distance [parsec],110.6,,110.62,HD 1666.xml
HD 1690,system,Distance [parsec],319,,7.01,HD 1690.xml
HD 2039,system,Distance [parsec],89.8,,89.85,HD 2039.xml
HD 2638,system,Right ascension,00 29 16.10949,,00 29 59.87,HD 2638.xml
HD 2638,system,Declination,-05 54 37.7582,,-05 45 50.4,HD 2638.xml
HD 3651,system,Right ascension,00 39 21,,00 39 21.81,HD 3651.xml
HD 3651,system,Declination,+21 15 01,,+21 15 01.7,HD 3651.xml
HD 3651,system,Distance [parsec],11,,11.10,HD 3651.xml
HD 4113,system,Declination,-37 58 57,,-37 58 57.5,HD 4113.xml
HD 4113,system,Distance [parsec],44,,44.05,HD 4113.xml
HD 4203,system,Distance errorminus,8.53,,-8.53,HD 4203.xml
HD 4208,system,Right ascension,00 44 26,,00 44 26.65,HD 4208.xml
HD 4208,system,Distance [parsec],33.9,,32.70,HD 4208.xml
HD 4308,system,Distance [parsec],21.9,,21.85,HD 4308.xml
HD 4732,system,Right ascension,00 49 13,,00 49 13.95,HD 4732.xml
HD 5319,system,Right ascension,00 55 01.400,,00 55 01.40,HD 5319.xml
HD 5319,system,Distance errorminus,11,,-11.00,HD 5319.xml
HD 5608,system,Distance [parsec],56.4,,58.17,HD 5608.xml
HD 5608,system,Distance errorminus,1.3,,-2.95,HD 5608.xml
HD 5608,system,Distance errorplus,1.3,,2.68,HD 5608.xml
HD 5891,system,Right ascension,01 00 59,,01 00 33.19,HD 5891.xml
HD 5891,system,Declination,+20 17 56,,+20 17 32.9,HD 5891.xml
HD 5891,system,Distance [parsec],251,,150.60,HD 5891.xml
HD 6434,system,Distance [parsec],41.4,,40.32,HD 6434.xml
HD 6434,system,Distance errorminus,1.03,,-1.50,HD 6434.xml
HD 6434,system,Distance errorplus,1.03,,1.40,HD 6434.xml
HD 7199,system,Distance [parsec],36,,35.88,HD 7199.xml
HD 103197,system,Distance [parsec],49.3,,49.33,HD 103197.xml
HD 103720,system,Right ascension,11 56 41.18534,,11 56 41.18,HD 103720.xml
HD 103720,system,Distance [parsec],41.58,,41.60,HD 103720.xml
HD 104067,system,Distance [parsec],20.8,,20.82,HD 104067.xml
HD 104985,system,Distance [parsec],97.1,,102.04,HD 104985.xml
HD 104985,system,Distance errorminus,2.4,,-5.72,HD 104985.xml
HD 104985,system,Distance errorplus,2.4,,5.14,HD 104985.xml
HD 106270,system,Declination,-09 30 47,,-09 30 48.2,HD 106270.xml
HD 106270,system,Distance [parsec],84.9,,87.87,HD 106270.xml
HD 106515 A,system,Distance [parsec],35.2,,36.36,HD 106515 A.xml
HD 106906,system,Distance [parsec],92,,91.83,HD 106906.xml
HD 106906,system,Distance errorminus,6,,-8.27,HD 106906.xml
HD 106906,system,Distance errorplus,6,,7.01,HD 106906.xml
HD 108147,system,Declination,-64 01 19,,-64 01 19.5,HD 108147.xml
HD 108147,system,Distance [parsec],38.57,,38.56,HD 108147.xml
HD 108874,system,Right ascension,12 30 26,,12 30 26.88,HD 108874.xml
HD 109271,system,Right ascension,12 33 35,,12 33 35.56,HD 109271.xml
HD 109271,system,Declination,-11 37 18,,-11 37 18.7,HD 109271.xml
HD 109271,system,Distance [parsec],62,,56.92,HD 109271.xml
HD 109749,system,Declination,-40 48 43,,-40 48 43.6,HD 109749.xml
HD 109749,system,Distance [parsec],59,,59.03,HD 109749.xml
HD 111232,system,Right ascension,12 48 51,,12 48 51.75,HD 111232.xml
HD 111232,system,Distance [parsec],29,,28.88,HD 111232.xml
HD 113538,system,Distance [parsec],15.87,,15.90,HD 113538.xml
HD 114386,system,Right ascension,13 10 39,,13 10 39.82,HD 114386.xml
HD 114762,system,Right ascension,13 12 19,,13 12 19.74,HD 114762.xml
HD 114762,system,Declination,+17 31 01,,+17 31 01.6,HD 114762.xml
HD 114762,system,Distance [parsec],39.46,,40.57,HD 114762.xml
HD 116029,system,Right ascension,13 20 39,,13 20 39.54,HD 116029.xml
HD 116029,system,Distance [parsec],123,,110.62,HD 116029.xml
HD 117207,system,Declination,-35 34 15,,-35 34 15.6,HD 117207.xml
HD 117207,system,Distance [parsec],33,,33.01,HD 117207.xml
HD 120084,system,Declination,+78 03 51,,+78 03 52.0,HD 120084.xml
HD 120084,system,Distance [parsec],98,,97.66,HD 120084.xml
HD 125612,system,Declination,-17 28 53,,-17 28 53.5,HD 125612.xml
HD 125612,system,Distance [parsec],52.82,,52.83,HD 125612.xml
Kepler-20,system,Right ascension,19 10 47,,19 10 47.52,Kepler-20.xml
Kepler-21,system,Distance [parsec],112.9,,113.00,Kepler-21.xml
Kepler-21,system,Distance errorminus,7.4,,-7.00,Kepler-21.xml
Kepler-21,system,Distance errorplus,7.4,,7.00,Kepler-21.xml
Kepler-22,system,Distance [parsec],180,,190.00,Kepler-22.xml
Kepler-23,system,Right ascension,19 36 52,,19 36 52.54,Kepler-23.xml
Kepler-23,system,Distance [parsec],864.68,,800.00,Kepler-23.xml
Kepler-24,system,Declination,+38 20 37,,+38 20 37.5,Kepler-24.xml
Kepler-24,system,Distance [parsec],1462.04,,1200.00,Kepler-24.xml
Kepler-25,system,Declination,+38 20 37,,+39 29 16.4,Kepler-25.xml
Kepler-26,system,Right ascension,18 59 45,,18 59 45.84,Kepler-26.xml
Kepler-26,system,Declination,+46 33 59,,+46 33 59.5,Kepler-26.xml
Kepler-27,system,Right ascension,19 28 56,,19 28 56.82,Kepler-27.xml
Kepler-28,system,Right ascension,19 28 32,,19 28 32.89,Kepler-28.xml
Kepler-28,system,Declination,+42 25 45,,+42 25 45.9,Kepler-28.xml
Kepler-29,system,Right ascension,19 53 23,,19 53 23.60,Kepler-29.xml
Kepler-29,system,Distance [parsec],1246,,1400.00,Kepler-29.xml
Kepler-300,system,Right ascension,19 41 09,,19 01 08.07,Kepler-300.xml
Kepler-300,system,Declination,+48 35 58,,+38 56 50.2,Kepler-300.xml
Kepler-300,system,Distance [parsec],753.63,,1400.00,Kepler-300.xml
Kepler-31,system,Right ascension,19 36 05,,19 36 05.52,Kepler-31.xml
Kepler-31,system,Distance [parsec],1790.60,,2100.00,Kepler-31.xml
Kepler-32,system,Distance [parsec],399,,303.00,Kepler-32.xml
Kepler-33,system,Right ascension,19 16 18,,19 16 18.61,Kepler-33.xml
Kepler-33,system,Declination,+46 00 18,,+46 00 18.8,Kepler-33.xml
HIP 79431,system,Distance [parsec],14.4,,14.90,HIP 79431.xml
HIP 91258,system,Distance [parsec],44.9,,44.46,HIP 91258.xml
HIP 91258,system,Distance errorminus,1.3,,-1.47,HIP 91258.xml
HIP 91258,system,Distance errorplus,1.3,,1.38,HIP 91258.xml
HIP 97233,system,Distance [parsec],106,,106.50,HIP 97233.xml
HIP 116454,system,Distance errorminus,5.4,,-5.40,HIP 116454.xml
HR 810,system,Right ascension,02 42 31,,02 42 33.47,HR 810.xml
HR 810,system,Declination,-50 48 12,,-50 48 01.1,HR 810.xml
HR 810,system,Distance [parsec],17.17,,17.24,HR 810.xml
HR 8799,system,Distance errorminus,1.09,,-1.10,HR 8799.xml
HR 8799,system,Distance errorplus,1.09,,1.10,HR 8799.xml
EPIC 201367065,system,Distance [parsec],45,,42.00,EPIC 201367065.xml
EPIC 201367065,system,Distance errorminus,4,,-2.00,EPIC 201367065.xml
EPIC 201367065,system,Distance errorplus,3,,2.00,EPIC 201367065.xml
KELT-10,system,Right ascension,18 58 11.601,,00 01 26.91,KELT-10.xml
KELT-10,system,Declination,-47 00 11.68,,+39 23 01.7,KELT-10.xml
KELT-10,system,Distance [parsec],183,,262.00,KELT-10.xml
KELT-10,system,Distance errorminus,14,,-14.00,KELT-10.xml
KELT-6,system,Distance errorminus,8,,-8.00,KELT-6.xml
TrES-2,system,Distance errorminus,11,,-11.00,TrES-2.xml
HAT-P-7,system,Distance errorminus,40,,-40.00,HAT-P-7.xml
Kepler-9,system,Right ascension,19 02 17,,19 02 17.76,Kepler-9.xml
Kepler-10,system,Distance errorminus,27,,-27.00,Kepler-10.xml
Kepler-11,system,Right ascension,19 48 27,,19 48 27.63,Kepler-11.xml
Kepler-11,system,Distance [parsec],613.20279,,613.00,Kepler-11.xml
Kepler-111,system,Right ascension,19 26 36,,19 07 53.09,Kepler-111.xml
Kepler-111,system,Declination,+44 41 17,,+46 52 06.1,Kepler-111.xml
Kepler-16,system,Distance [parsec],60,,61.00,Kepler-16.xml
Kepler-34,system,Distance [parsec],1500,,1499.00,Kepler-34.xml
Kepler-35,system,Distance errorminus,43,,-43.00,Kepler-35.xml
Kepler-36,system,Declination,+49 13 54,,+49 13 54.6,Kepler-36.xml
Kepler-36,system,Distance [parsec],436.937,,470.00,Kepler-36.xml
Kepler-38,system,Distance [parsec],3500,,600.00,Kepler-38.xml
Kepler-390,system,Right ascension,19 26 30,,19 47 50.46,Kepler-390.xml
Kepler-390,system,Declination,+41 12 30,,+46 02 03.5,Kepler-390.xml
Kepler-390,system,Distance [parsec],429.55,,1200.00,Kepler-390.xml
Kepler-41,system,Declination,+48 58 54,,+45 58 53.9,Kepler-41.xml
Kepler-41,system,Distance [parsec],771.43,,770.00,Kepler-41.xml
Kepler-42,system,Right ascension,19 28 52,,19 28 52.57,Kepler-42.xml
Kepler-42,system,Declination,+43 37 09,,+44 37 09.0,Kepler-42.xml
Kepler-44,system,Distance errorminus,300,,-300.00,Kepler-44.xml
Kepler-45,system,Distance errorminus,33,,-33.00,Kepler-45.xml
Kepler-47,system,Right ascension,19 41 11,,19 41 11.50,Kepler-47.xml
Kepler-47,system,Declination,+46 55 13,,+46 55 13.7,Kepler-47.xml
Kepler-47,system,Distance [parsec],1189,,1500.00,Kepler-47.xml
Kepler-49,system,Right ascension,19 29 10,,19 29 10.70,Kepler-49.xml
Kepler-52,system,Declination,+49 58 32,,+49 58 32.7,Kepler-52.xml
Kepler-53,system,Right ascension,19 21 50,,19 21 50.83,Kepler-53.xml
Kepler-53,system,Declination,+40 33 44,,+40 33 44.9,Kepler-53.xml
Kepler-54,system,Right ascension,19 39 05,,19 39 05.75,Kepler-54.xml
Kepler-54,system,Declination,+43 03 22,,+43 03 22.7,Kepler-54.xml
Kepler-56,system,Right ascension,19 35 02.01,,19 35 02.00,Kepler-56.xml
Kepler-57,system,Right ascension,19 34 33,,19 34 33.91,Kepler-57.xml
Kepler-58,system,Declination,+39 06 54,,+39 06 54.7,Kepler-58.xml
Kepler-60,system,Right ascension,19 15 50.698,,19 15 50.70,Kepler-60.xml
Kepler-62,system,Declination,+45 20 59,,+45 20 59.5,Kepler-62.xml
Kepler-63,system,Distance errorminus,15,,-15.00,Kepler-63.xml
Kepler-67,system,Distance errorminus,90,,-90.00,Kepler-67.xml
Kepler-68,system,Right ascension,19 24 07.7644,,19 24 07.75,Kepler-68.xml
Kepler-68,system,Distance errorminus,10,,-10.00,Kepler-68.xml
Kepler-69,system,Right ascension,19 33 02,,19 33 02.63,Kepler-69.xml
Kepler-183,system,Right ascension,19 34 07,,19 45 25.47,Kepler-183.xml
Kepler-183,system,Declination,+39 18 57,,+41 05 33.9,Kepler-183.xml
Kepler-183,system,Distance [parsec],1092.31,,1180.00,Kepler-183.xml
Kepler-367,system,Right ascension,19 49 10,,19 39 27.72,Kepler-367.xml
Kepler-367,system,Declination,+49 58 53,,+46 17 09.1,Kepler-367.xml
Kepler-367,system,Distance [parsec],196.01,,800.00,Kepler-367.xml
Kepler-74,system,Distance errorminus,170,,-170.00,Kepler-74.xml
Kepler-81,system,Right ascension,19 34 32,,19 34 32.87,Kepler-81.xml
Kepler-81,system,Declination,+42 49 29,,+42 49 29.9,Kepler-81.xml
Kepler-82,system,Right ascension,19 31 29,,19 31 29.61,Kepler-82.xml
Kepler-83,system,Right ascension,18 48 55,,18 48 55.81,Kepler-83.xml
Kepler-84,system,Declination,+40 29 45,,+40 29 45.9,Kepler-84.xml
Kepler-85,system,Right ascension,19 23 53,,19 23 53.62,Kepler-85.xml
Kepler-296,system,Right ascension,19 06 09.602,,19 24 35.54,Kepler-296.xml
Kepler-296,system,Declination,+49 26 14.37,,+40 40 09.9,Kepler-296.xml
Kepler-296,system,Distance [parsec],558.5,,339.00,Kepler-296.xml
Kepler-257,system,Right ascension,19 49 15,,19 49 19.93,Kepler-257.xml
Kepler-257,system,Declination,+46 01 23,,+41 53 28.0,Kepler-257.xml
Kepler-91,system,Distance errorminus,130,,-130.00,Kepler-91.xml
Kepler-920,system,Right ascension,18 57 11,,19 16 20.65,Kepler-920.xml
Kepler-920,system,Declination,+49 09 31,,+41 33 46.6,Kepler-920.xml
Kepler-93,system,Declination,+38 40 20.450,,+38 40 20.5,Kepler-93.xml
Kepler-94,system,Declination,+47 29 49,,+47 29 49.7,Kepler-94.xml
Kepler-95,system,Declination,+44 23 52,,+44 23 52.9,Kepler-95.xml
Kepler-100,system,Right ascension,19 25 32,,19 25 32.63,Kepler-100.xml
Kepler-100,system,Declination,+41 59 24,,+41 59 25.0,Kepler-100.xml
Kepler-102,system,Right ascension,18 45 55,,18 45 55.86,Kepler-102.xml
Kepler-102,system,Declination,+47 12 28,,+47 12 28.9,Kepler-102.xml
Kepler-103,system,Right ascension,19 15 56.2,,19 15 56.29,Kepler-103.xml
Kepler-105,system,Right ascension,19 11 32,,19 11 32.96,Kepler-105.xml
Kepler-107,system,Right ascension,19 48 06,,19 48 06.78,Kepler-107.xml
Kepler-107,system,Declination,+48 12 30,,+48 12 31.0,Kepler-107.xml
Kepler-109,system,Right ascension,19 21 34.263,,19 21 34.25,Kepler-109.xml
Kepler-109,system,Declination,+40 17 05.66,,+40 17 05.5,Kepler-109.xml
Kepler-110,system,Right ascension,19 31 42,,19 31 42.99,Kepler-110.xml
Kepler-111,system,Right ascension,19 26 36,,19 26 36.76,Kepler-111.xml
Kepler-111,system,Declination,+44 41 17,,+44 41 17.8,Kepler-111.xml
Kepler-75,system,Distance errorminus,250,,-160.00,Kepler-75.xml
Kepler-75,system,Distance errorplus,160,,250.00,Kepler-75.xml
Kepler-780,system,Right ascension,18 47 04,,19 34 58.01,Kepler-780.xml
Kepler-780,system,Declination,+44 17 33,,+44 26 54.0,Kepler-780.xml
Kepler-79,system,Declination,+44 22 53.44,,+44 22 53.7,Kepler-79.xml
Kepler-80,system,Declination,+39 58 43,,+39 58 43.6,Kepler-80.xml
Kepler-80,system,Distance [parsec],418.17,,357.00,Kepler-80.xml
