Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
11 Com b,11 Com b,confirmedplanets,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2015-08-21,11 Com.xml,
11 UMi b,11 UMi b,confirmedplanets,,,,,,,,,2.47,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2009-08-13,11 UMi.xml,
14 And b,14 And b,confirmedplanets,,,,,0.57,,0.57,,0.57,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2014-08-27,14 And.xml,
14 Her b,14 Her b,confirmedplanets,,,,,0.19,,0.19,,0.19,,0.19,,,,,,,,,,,,,,2.5,,2.5,,,,,,,,0.005,,0.005,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/21,2014-08-27,14 Her.xml,
16 Cygni B b,16 Cyg B b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/22,2014-08-27,16 Cygni.xml,
18 Del b,18 Del b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/23,2014-08-27,18 Del.xml,
1RXS1609 b,1RXS 1609 b,confirmedplanets,,,14.0,,3.0,,2.0,13,3.0,16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,100,,100,,,,,,,,,,15/07/29,2015-03-05,1RXS1609.xml,
1SWASP J1407 b,1SWASP J1407 b,controversial,,14.0,20.0,,6.0,,6.0,,6.0,,6.0,,,,,,,,,,,,,,900.0,,900.0,,,,,0.8,,0.1,,0.1,,,,,,,,,,,,,,,,transit,primarytransit,2007,2012,15/02/21,2014-10-29,1SWASP J1407.xml,
24 Sex b,24 Sex b,confirmedplanets,,,,,,,,,0.38,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/23,2014-05-23,24 Sex.xml,
24 Sex c,24 Sex c,confirmedplanets,,,,,,,,,0.22,,0.35,,,,,,,,,,,,,13.8,14.0,32.4,32.0,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/23,2014-05-23,24 Sex.xml,
2M 0746+20 b,2M 0746+20 b,confirmedplanets,,,,,25.0,,25.0,,25.0,,25.0,,,,0.06,,0.06,,,,,,,,25.0,,25.0,,,,,,,,0.003,,0.003,,,,,,,,,,,,,,,,,,,12/01/20,2012-01-20,2M 0746+20.xml,
2M 2140+16 b,2M 2140+16 b,confirmedplanets,,,,,20.0,,80.0,,20.0,,80.0,,,,0.39,,0.39,,,,,,,,584.0,,584.0,,,,,,,,0.06,,0.06,,,,,,,,,,,,,,,,,,,12/01/20,2012-01-20,2M 2140+16.xml,
2M 2206-20 b,2M 2206-20 b,confirmedplanets,,,,,20.0,,70.0,,20.0,,70.0,,,,0.18,,0.18,,,,,,,,69.4,,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/01/20,2012-01-20,2M 2206-20.xml,
