Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
11 Com,11 Com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g8iii,,,,,,,,11 Com.xml,
11 UMi,11 UMi,,,,,,,,,,,,,,1.56,,0.54,,0.54,,0.54,,0.54,,,,,,,,,,,,,k4iii,,5.024,5.02,,,,,11 UMi.xml,
14 And,14 And,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,0.03,,0.03,,,,,,,,k0iii,,,,,,,,14 And.xml,
14 Her,14 Her,1.0,0.9,,,,,,,,0.085,,0.085,,5.1,,,,,,,,,,,,0.08,,0.08,,,,87.0,,87.0,k0v,,,,,,,,14 Her.xml,
16 Cygni B,16 Cyg B,1.07,1.01,0.02,0.04,0.02,0.04,1.127,0.98,0.007,0.13,0.007,0.13,6.8,8.0,0.4,1.8,0.4,1.8,,1.8,,1.8,0.052,0.08,0.021,0.04,0.021,0.04,5750,5766.0,50,60.0,50,60.0,g2v,,,,,,,,16 Cygni.xml,
18 Del,18 Del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g6iii,,5.522,5.52,,,,,18 Del.xml,
1SWASP J1407,1SWASP J1407,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400.0,,100.0,,100.0,k5,,,12.4,,,,,1SWASP J1407.xml,
24 Sex,24 Sex,,,,,,,,,,,,,,,,,,,,0.4,,0.4,,,,,,,,,,,,,g5,,,,,,,,24 Sex.xml,
2M0441+2301 Aa,2M 0441+23,0.2,0.02,0.05,,1.0,,1.1,,0.2,,0.2,,,0.001,,,,,,,,,,,,,,,3400,,,,,,m4.5,,,,,,,,2M 044144.xml,
2M 0746+20,2M 0746+20,,,,0.09,,0.09,,,,0.003,,0.003,,,,,,,,,,,,,,,,,,,,50.0,,50.0,l0/l1.5,,17.7,,,,,,2M 0746+20.xml,
2M 1938+4603 A,2M  1938+46,0.48,0.6,,,,,0.223,,0.004,,0.004,,,,,,,,,,,,,,,,,,29564,,106,,106,,sdbv,,12.69,,0.24,,0.24,,2M 1938+4603.xml,
2M 2140+16,2M 2140+16,,,,0.06,,0.06,,,,0.043,,0.043,,,,,,,,,,,,,,,,,,,,80.0,,80.0,m8.5/l2,,,,,,,,2M 2140+16.xml,
2M 2206-20,2M 2206-20,,,,0.05,,0.05,,,,0.015,,0.015,,,,,,,,,,,,,,,,,,,,80.0,,80.0,m8,,19.788,,0.203,,0.203,,2M 2206-20.xml,
