Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
11 Com,11 Com,12 20 43,,+17 47 34,,88.9,110.6,1.7,10.5,1.7,10.5,11 Com.xml,
11 UMi,11 UMi,15 17 05.88899,,+71 49 26.0466,,122.1,119.5,2.8,6.9,2.8,6.9,11 UMi.xml,
14 And,14 And,23 31 17.41346,,+39 14 10.3092,,79.2,76.4,1.7,4.1,1.7,4.1,14 And.xml,
14 Her,14 Her,16 10 23,,+43 49 18,,,,,,,,14 Her.xml,
18 Del,18 Del,20 58 25.93397,,+10 50 21.4289,,75.3,73.1,1.8,3.5,1.8,3.5,18 Del.xml,
1SWASP J1407,1SWASP J1407,14 07 47.93,,-39 45 42.7,,,,,,,,1SWASP J1407.xml,
24 Sex,24 Sex,10 23 28.370,,-00 54 08.09,,,,,,,,24 Sex.xml,
2M 0746+20,2M 0746+20,07 46 42.562,,+20 00 32.18,,,,,0.05,,0.05,2M 0746+20.xml,
2M 1938+4603,2M  1938+46,19 38 32.6,,+46 03 59,,,,,,,,2M 1938+4603.xml,
2M 2140+16,2M 2140+16,21 40 29,,+16 25 18,,,,,10.0,,10.0,2M 2140+16.xml,
2M 2206-20,2M 2206-20,22 06 22.802,,-20 47 05.90,,,,,2.63,,2.63,2M 2206-20.xml,
4 UMa,4 Uma,08 40 12.81767,,+64 19 40.5700,,,,,1.6,,1.6,4 UMa.xml,
42 Dra,42 Dra,18 25 59.13734,,+65 33 48.5288,,96.5,97.3,1.9,5.0,1.9,5.0,42 Dra.xml,
47 UMa,47 Uma,10 59 27.97282,,+40 25 48.9202,,14.063,13.97,0.049,1.91,0.049,1.91,47 UMa.xml,
55 Cancri,55 Cnc,08 52 35.81093,,+28 19 50.9511,,,,0.11,0.4,0.11,0.4,55 Cancri.xml,
6 Lyn,6 Lyn,06 30 47.10797,,+58 09 45.4809,,55.8,56.9,1.5,2.5,1.5,2.5,6 Lyn.xml,
61 Vir,61 Vir,13 18 24.31427,,-18 18 40.3047,,,,,,,,61 Vir.xml,
7 CMa,7 CMa,06 36 41.038,,-19 15 21.17,,,,,,,,7 CMa.xml,
70 Vir,70 Vir,13 28 25.80861,,+13 46 43.6386,,18.1,22.0,0.2,,0.2,,70 Vir.xml,
75 Cet,75 Cet,02 32 09.42200,,-01 02 05.6236,,81.4,81.5,3.0,7.51,3.0,7.51,75 Cet.xml,
81 Cet,81 Cet,02 37 42.80105,,-03 23 46.2201,,92.5,97.2,3.9,9.2,3.9,9.2,81 Cet.xml,
AB Pic,AB Pic,06 19 12,,-58 03 15,,45.5,47.3,1.7,1.8,,,AB Pic.xml,
