Primary planet name(from standardize_OEC_planet.csv),pl_name(from standardize_NASA_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),pl_bmassj(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),pl_bmassjerr2(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),pl_bmassjerr1(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),pl_bmassjerr2(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),pl_bmassjerr1(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),pl_radj(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),pl_radjerr2(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),pl_radjerr1(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),pl_radjerr2(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),pl_radjerr1(from standardize_NASA_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),pl_orbper(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),pl_orbpererr2(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),pl_orbpererr1(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),pl_orbpererr2(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),pl_orbpererr1(from standardize_NASA_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),pl_orbeccen(from standardize_NASA_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),pl_orbeccenerr2(from standardize_NASA_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),pl_orbeccenerr1(from standardize_NASA_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),pl_orbeccenerr2(from standardize_NASA_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),pl_orbeccenerr1(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),pl_eqt(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),pl_eqterr2(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),pl_eqterr1(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),pl_eqterr2(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),pl_eqterr1(from standardize_NASA_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),Discovery method(from standardize_NASA_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),pl_publ_date(from standardize_NASA_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),Last updated [yy/mm/dd](from standardize_NASA_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_NASA_Catalogue_Data.csv)
Kepler-139 c,Kepler-139 c,confirmedplanets,,,,,,,,,,,,0.30802,0.302,0.06288,0.062,0.06288,0.062,,0.062,,0.062,,,,,,,,0.00172000,,0.00172000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-139.xml,
Kepler-140 c,Kepler-140 c,confirmedplanets,,,,,,,,,,,,0.16403,0.161,0.03190,0.031,0.03190,0.031,,0.031,,0.031,,,,,,,,0.00137000,,0.00137000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-140.xml,
Kepler-141 b,Kepler-141 b,confirmedplanets,,,,,,,,,,,,0.06288,0.062,0.00456,0.004,0.00456,0.004,,0.004,,0.004,,,,,,,,0.00002200,,0.00002200,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-141.xml,
Kepler-141 c,Kepler-141 c,confirmedplanets,,,,,,,,,,,,0.12849,0.126,0.00820,0.008,0.00820,0.008,,0.008,,0.008,,,,,,,,0.00002000,,0.00002000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-141.xml,
Kepler-142 c,Kepler-142 c,confirmedplanets,,,,,,,,,,,,0.26063,0.255,0.05012,0.049,0.05012,0.049,,0.049,,0.049,,,,,,,,0.00000500,,0.00000500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-142.xml,
Kepler-142 d,Kepler-142 d,confirmedplanets,,,,,,,,,,,,0.19684,0.193,0.04283,0.042,0.04283,0.042,,0.042,,0.042,,,,,,,,0.00056200,,0.00056200,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-142.xml,
Kepler-143 b,Kepler-143 b,confirmedplanets,,,,,,,,,,,,0.21962,0.215,0.05468,0.054,0.05468,0.054,,0.054,,0.054,,,,,,,,0.00009300,,0.00009300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-143.xml,
Kepler-143 c,Kepler-143 c,confirmedplanets,,,,,,,,,,,,0.30711,0.301,0.07655,0.075,0.07655,0.075,,0.075,,0.075,,,,,,,,0.00016900,,0.00016900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-143.xml,
Kepler-144 b,Kepler-144 b,confirmedplanets,,,,,,,,,,,,0.12120,0.119,0.02369,0.023,0.02369,0.023,,0.023,,0.023,,,,,,,,0.00002000,,0.00002000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-144.xml,
Kepler-144 c,Kepler-144 c,confirmedplanets,,,,,,,,,,,,0.12303,0.120,0.02369,0.023,0.02369,0.023,,0.023,,0.023,,,,,,,,0.00004300,,0.00004300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-144.xml,
KOI-370.02,Kepler-145 b,confirmedplanets,,,0.11700,,0.03600,,0.03600,,0.03600,,0.03600,0.228,0.236,0.025,0.007,0.025,0.007,,0.007,,0.007,22.95102,22.95100000,0.00023,,0.00023,,,,,,,,,,,,,,,,,,,,,,,,,,transit,,2013,2014,13/09/13,,KOI-370.xml,
KOI-370.01,Kepler-145 c,confirmedplanets,,,0.25000,,0.05200,,0.05200,,0.05200,,0.05200,0.350,0.385,0.010,0.011,0.010,0.011,,0.011,,0.011,42.88254,42.88200000,0.00015,,0.00015,,,,,,0.11,,0.11,,0.11,,,,,,,,,,,,,,,,transit,,2013,2014,13/09/13,,KOI-370.xml,
