Primary star name(from standardize_OEC_star.csv),pl_hostname(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),st_mass(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),st_masserr2(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),st_masserr1(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),st_rad(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),st_raderr2(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),st_raderr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),st_age(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),st_ageerr2(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),st_ageerr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),Age [Gyr] lowerlimit(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),Age [Gyr] upperlimit(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),st_metfe(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),st_metfeerr2(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),st_metfeerr1(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),st_teff(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),st_tefferr2(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),st_tefferr1(from standardize_NASA_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),st_optmag(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_NASA_Catalogue_Star_Data.csv)
Kepler-139,Kepler-139,1.0840,1.08,0.0480,,0.0480,,,,.251,0.25,0.251,0.25,,,,,,,,,,,,0.154,,,,,,,,,,,,,,12.701,,,,,Kepler-139.xml,
Kepler-140,Kepler-140,1.2070,,0.0390,,0.0390,,1.288,1.29,.244,0.24,0.244,0.24,,,,,,,,,,,,-0.094,,,,,,,36,136.00,,,,,,12.996,,,,,Kepler-140.xml,
Kepler-141,Kepler-141,1.0010,1.00,0.0240,,0.0240,,0.787,0.79,.044,0.04,0.044,0.04,,,,,,,,,,,,0.538,,,,,,,,,,,,,,13.448,,,,,Kepler-141.xml,
Kepler-142,Kepler-142,0.9880,0.99,0.0400,,0.0400,,1.269,1.27,.245,0.24,0.245,0.24,,,,,,,,,,,,-0.274,,,,,,,,,,,,,,13.203,,,,,Kepler-142.xml,
Kepler-143,Kepler-143,1.0080,,0.0900,,0.0900,,1.359,1.36,,,,,,,,,,,,,,,,-0.167,,,,,,,68,168.00,,,,,,13.770,,,,,Kepler-143.xml,
Kepler-144,Kepler-144,1.1540,1.03,0.0190,,0.0190,,1.235,1.24,.237,0.24,0.237,0.24,,,,,,,,,,,,-0.326,,,,,,,31,131.00,,,,,12.20,11.992,0.19,,0.19,,Kepler-144.xml,
Kepler-1450,Kepler-145,0.71,1.32,0.04,0.10,0.03,0.10,0.68,1.85,0.04,0.05,0.03,0.05,,,,,,,,,,,-0.02,-0.674,0.15,,0.15,,4524.0,6022.00,94.0,,104.8,,,,,11.931,,,,,Kepler-1450.xml,
Kepler-146,Kepler-146,1.0900,,0.1100,,0.1100,,1.208,1.21,.226,0.23,0.226,0.23,,,,,,,,,,,,-0.302,,,,,,,,,,,,,,13.838,,,,,Kepler-146.xml,
Kepler-147,Kepler-147,0.9800,1.01,0.1200,,0.1200,,1.468,1.47,.289,0.29,0.289,0.29,,,,,,,,,,,,0.078,,,,,,,,,,,,,,13.954,,,,,Kepler-147.xml,
Kepler-148,Kepler-148,0.7770,,0.0830,,0.0830,,0.851,0.85,.413,0.41,0.413,0.41,,,,,,,,,,,,0.143,,,,,,,,,,,,,,15.342,,,,,Kepler-148.xml,
Kepler-149,Kepler-149,0.9090,,0.0540,,0.0540,,0.953,0.95,.136,0.14,0.136,0.14,,,,,,,,,,,,0.147,,,,,,,,,,,,,,14.001,,,,,Kepler-149.xml,
Kepler-150,Kepler-150,0.9700,,0.0760,,0.0760,,0.939,0.94,.136,0.14,0.136,0.14,,,,,,,,,,,,-0.136,,,,,,,,,,,,,,14.985,,,,,Kepler-150.xml,
Kepler-151,Kepler-151,0.8600,0.83,0.1100,,0.1100,,,,.411,0.41,0.411,0.41,,,,,,,,,,,,-0.102,,,,,,,,,,,,,,14.769,,,,,Kepler-151.xml,
HAT-P-46,HAT-P-46,1.284,1.28,,,0.095,0.10,1.396,1.40,0.136,0.14,0.293,0.29,,,,,,,,,,,,,,,,,,,,,,,,,11.936,,,,,,HAT-P-46.xml,
HAT-P-54,HAT-P-54,0.645,0.65,,,,,0.617,0.62,0.013,0.01,0.013,0.01,,,,,,,,,,,,,,,,,,,,,,,,,13.505,13.600,0.06,,0.06,,HAT-P-54.xml,
HATS-2,HATS-2,,,,0.04,,0.04,0.89,0.90,,0.02,,0.02,,,,2.900,,2.900,,,,,,,,0.050,,0.050,,,,95.00,,95.00,k,,13.62,13.562,0.06,0.016,0.06,0.016,HATS-2.xml,
HATS-3,HATS-3,1.300,1.21,0.088,0.04,0.088,0.04,1.725,1.40,0.242,0.03,0.242,0.03,3.1,3.200,,,0.8,0.600,,,,,,,,,,,,,,,,,f,,,,,,,,HATS-3.xml,
HATS-5,HATS-5,0.936,0.94,0.028,0.03,0.028,0.03,0.871,0.87,0.023,0.02,0.023,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HATS-5.xml,
HATS-6,HATS-6,0.574,0.57,0.027,0.03,,,,,0.011,0.01,0.011,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HATS-6.xml,
HD 142 A,HD 142,1.15,1.23,,0.16,,0.22,1.43,1.47,,0.04,,0.04,4.3,,,,,,,,,,0.04,0.090,,0.050,,0.050,6249,6245.00,,48.00,,48.00,g1iv,,,,,,,,HD 142.xml,
HD 1502,HD 1502,,,,0.11,,0.11,,,,0.10,,0.10,,2.400,,0.500,,0.500,,,,,,,,0.030,,0.030,,,,44.00,,44.00,k0,,,,,,,,HD 1502.xml,
HD 1605,HD 1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1iv,,,,0.01,,0.01,,HD 1605.xml,
HD 1666,HD 1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7v,,8.16,8.170,0.01,,0.01,,HD 1666.xml,
HD 1690,HD 1690,,,,0.15,,0.15,,,,3.60,,3.60,,6.700,,3.200,,3.200,,,,,,,,0.060,,0.060,,,,85.00,,85.00,k1iii,,,,,,,,HD 1690.xml,
HD 2039,HD 2039,0.98,1.17,,,,,1.21,,,,,,,,,,,,,,,,0.1,0.315,,,,,5947.0,5941.00,,,,,g2/g3iv-v,,9.01,9.000,,,,,HD 2039.xml,
HD 2638,HD 2638,0.87,0.93,,,,,,,,,,,,3.000,,,,,,,,,,,,0.050,,0.050,,,,38.00,,38.00,g5,,9.44,9.375,,0.023,,0.023,HD 2638.xml,
HD 3651,HD 3651,0.79,0.88,,0.03,,0.03,0.947,,,,,,,,,,,,,,,,0.05,0.240,,0.030,,0.030,5173.0,5221.00,,44.00,,44.00,k0v,,5.8,5.860,,,,,HD 3651.xml,
HD 4113,HD 4113,,,,,,,,,,,,,,6.400,,1.600,,1.600,,,,,,,,0.040,,0.040,,,,26.00,,26.00,g5v,,7.88,7.881,,0.012,,0.012,HD 4113.xml,
HD 4203,HD 4203,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,g5,,8.68,8.687,,0.017,,0.017,HD 4203.xml,
HD 4208,HD 4208,,,,,,,0.85,,,,,,,,,,,,,,,,,,,0.030,,0.030,5571.0,5600.00,,44.00,,44.00,g5v,,7.79,7.780,,,,,HD 4208.xml,
HD 4308,HD 4308,0.85,0.83,,0.01,,0.01,0.92,,,,,,,4.300,,,,,,,,,-0.34,-0.310,,0.010,,0.010,5597.0,5685.00,,13.00,,13.00,g5v,,6.54,6.560,,,,,HD 4308.xml,
HD 4732,HD 4732,,,,0.14,,0.20,,,,0.40,,0.40,,,,,,,,,,,,,,0.040,,0.040,,,,25.00,,25.00,k0iv,,2.04,5.890,,0.009,,0.009,HD 4732.xml,
HD 5319,HD 5319,,,,,,,3.26,3.85,,0.40,,0.40,,3.100,,0.600,,0.600,,,,,,,,,,,5052.0,4958.00,,44.00,,44.00,g5iv,,,,,,,,HD 5319.xml,
HD 5608,HD 5608,,,,,,0.23,,,,,,0.40,,,,,,,,,,,0.06,,0.04,,0.04,,,,25,,,,k0iv,,5.999,5.980,,0.010,,0.010,HD 5608.xml,
HD 5891,HD 5891,,,,0.13,,0.13,,,,0.20,,0.20,,1.500,,0.800,,0.800,,,,,,,,0.030,,0.030,,,,44.00,,44.00,g5d,,,,,,,,HD 5891.xml,
HD 6434,HD 6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g3iv,,7.72,7.710,,,,,HD 6434.xml,
HD 7199,HD 7199,,,,,,,,,,,,,,6.790,,0.780,,0.780,,,,,,,,0.030,,0.030,,,,45.00,,45.00,k0iv/v,,8.06,8.027,,0.011,,0.011,HD 7199.xml,
HD 103197,HD 103197,,,,,,,,,,,,,,9.100,,,,,,,,,,,,0.040,,0.040,,,,58.00,,58.00,k1v,,9.41,9.391,,0.017,,0.017,HD 103197.xml,
HD 103720,HD 103720,0.794,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k3v,,,,,,,,HD 103720.xml,
HD 104067,HD 104067,0.791,0.79,,0.02,,0.02,,,,,,,,4.330,,3.990,,3.990,,,,,,,,0.050,,0.050,,,,72.00,,72.00,k2v,,,,,,,,HD 104067.xml,
HD 104985,HD 104985,2.3,,,,,,11,,,,,,,,,,,,,,,,-0.15,,,,,,4877,,,,,,g9iii,,5.797,5.800,,,,,HD 104985.xml,
HD 106270,HD 106270,,,,0.09,,0.09,,,,0.10,,0.10,,4.300,,0.600,,0.600,,,,,,,,0.030,,0.030,,,,44.00,,44.00,g5,,7.73,7.577,,0.011,,0.011,HD 106270.xml,
HD 106515 A,HD 106515 A,,,,0.01,,0.01,,,,0.05,,0.05,,,,0.200,,0.200,,,,,,,,0.020,,0.020,,5362.00,,29.00,,29.00,g5,,7.35,7.972,,0.014,,0.014,HD 106515 A.xml,
HD 106906,HD 106906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5v,,7.81,7.797,,0.011,,0.011,HD 106906.xml,
HD 108147,HD 108147,1.19,1.27,,0.02,,0.02,1.22,,,,,,,,,,,,,,,,0.18,0.200,,0.060,,0.060,6067.0,6265.00,,40.00,,40.00,f8/g0v,,6.99,6.995,,0.010,,0.010,HD 108147.xml,
HD 108341,HD 108341,0.843,0.84,0.024,0.02,0.024,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k2v,,,,,,,,HD 108341.xml,
HD 108874,HD 108874,1,0.95,,0.04,,0.04,1.22,,,,,,,,,,,,,,,,0.14,0.190,,0.030,,0.030,5407.0,5551.00,,44.00,,44.00,g5,,8.76,,,,,,HD 108874.xml,
HD 109246,HD 109246,,,,0.11,,0.11,,,,0.07,,0.07,,,,,,,,,,,,,,0.050,,0.050,,,,21.00,,21.00,g0v,,,,,,,,HD 109246.xml,
HD 109271,HD 109271,1.047,1.05,,0.02,,0.02,,,,,,,,,,1.200,,1.200,,,,,,,,0.050,,0.050,,,,62.00,,62.00,g5v,,8.05,8.055,,0.013,,0.013,HD 109271.xml,
HD 109749 A,HD 109749,,,,0.10,,0.10,,1.24,,0.10,,0.10,,3.700,,1.300,,1.300,,,,,,,,0.050,,0.050,5610.0,5903.00,,50.00,,50.00,g3iv,,8.1,8.208,,0.012,,0.012,HD 109749.xml,
HD 111232,HD 111232,,,,,,,,,,,,,,5.200,,,,,,,,,,,,,,,,,,,,,g8v,,7.61,7.590,,,,,HD 111232.xml,
