Primary system name(from OEC_system.csv),pl_hostname(from NASA_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),ra_str(from NASA_Catalogue_System_Data.csv),Declination(from OEC_system.csv),dec_str(from NASA_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),st_dist(from NASA_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),st_disterr2(from NASA_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),st_disterr1(from NASA_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from NASA_Catalogue_System_Data.csv)
Kepler-139,Kepler-139,,,+43 53 21,+43 53 21.7,476.47,,,,,,Kepler-139.xml,
Kepler-140,Kepler-140,19 09 28,19 09 28.67,+46 46 05,+46 46 05.6,638.17,,,,,,Kepler-140.xml,
Kepler-141,Kepler-141,,,,,313.46,,,,,,Kepler-141.xml,
Kepler-142,Kepler-142,19 40 28,19 40 28.54,+48 28 52,+48 28 52.6,627.86,,,,,,Kepler-142.xml,
Kepler-143,Kepler-143,,,,,890.59,,,,,,Kepler-143.xml,
Kepler-144,Kepler-144,18 47 39,18 47 39.76,+42 46 31,+42 46 31.8,385.13,,,,,,Kepler-144.xml,
Kepler-1450,Kepler-145,19 38 13,19 25 33.06,+45 04 53,+44 31 44.8,,,,,,,Kepler-1450.xml,
Kepler-146,Kepler-146,19 36 26,19 36 26.58,+38 42 36,+38 42 36.8,844.99,,,,,,Kepler-146.xml,
Kepler-147,Kepler-147,,,+39 05 13,+39 05 13.9,1106.65,,,,,,Kepler-147.xml,
Kepler-148,Kepler-148,19 19 08,19 19 08.69,+46 51 31,+46 51 31.6,934.81,,,,,,Kepler-148.xml,
Kepler-149,Kepler-149,19 03 24,19 03 24.88,+38 23 02,+38 23 02.8,588.12,,,,,,Kepler-149.xml,
Kepler-150,Kepler-150,,,,,973.33,,,,,,Kepler-150.xml,
Kepler-151,Kepler-151,,,+41 01 23,+41 01 23.6,751.12,,,,,,Kepler-151.xml,
HAT-P-46,HAT-P-46,,,,,,,29,-29.00,,,HAT-P-46.xml,
HAT-P-54,HAT-P-54,,,-25 28 57,+25 28 57.1,,,3.5,-3.50,,,HAT-P-54.xml,
HATS-2,HATS-2,11 46 57.370,11 46 57.38,-22 21 46.82,-22 33 46.8,,,,-11.00,,11.00,HATS-2.xml,
HATS-3,HATS-3,20 49 59,20 49 49.79,,,556,453.00,78,-11.00,78,11.00,HATS-3.xml,
HATS-5,HATS-5,,,,,,,8,-8.00,,,HATS-5.xml,
HATS-6,HATS-6,,,,,172.6,148.40,5.5,-3.30,5.5,3.30,HATS-6.xml,
HD 142,HD 142,,,-49 04 30,-49 04 30.7,20.6,25.64,,-0.43,,0.41,HD 142.xml,
HD 1502,HD 1502,,,,,159,167.50,,-36.16,,25.26,HD 1502.xml,
HD 1605,HD 1605,,,,,,,,-7.14,,6.11,HD 1605.xml,
HD 1666,HD 1666,,,,,110.6,110.62,,-13.91,,11.12,HD 1666.xml,
HD 1690,HD 1690,,,,,319,7.01,,,,,HD 1690.xml,
HD 2039,HD 2039,,,,,89.8,89.85,,-10.15,,8.28,HD 2039.xml,
HD 2638,HD 2638,00 29 16.10949,00 29 59.87,-05 54 37.7582,-05 45 50.4,,,,-4.20,,3.63,HD 2638.xml,
HD 3651,HD 3651,00 39 21,00 39 21.81,+21 15 01,+21 15 01.7,11,11.10,,-0.10,,0.10,HD 3651.xml,
HD 4113,HD 4113,,,-37 58 57,-37 58 57.5,44,44.05,,-2.01,,1.84,HD 4113.xml,
HD 4203,HD 4203,,,,,,,8.53,-8.53,,,HD 4203.xml,
HD 4208,HD 4208,00 44 26,00 44 26.65,,,33.9,32.70,,-1.20,,1.12,HD 4208.xml,
HD 4308,HD 4308,,,,,21.9,21.85,,-0.27,,0.26,HD 4308.xml,
HD 4732,HD 4732,00 49 13,00 49 13.95,,,,,,-3.35,,2.99,HD 4732.xml,
HD 5319,HD 5319,00 55 01.400,00 55 01.40,,,,,11,-11.00,,,HD 5319.xml,
HD 5608,HD 5608,,,,,56.4,58.17,1.3,-2.95,1.3,2.68,HD 5608.xml,
HD 5891,HD 5891,01 00 59,01 00 33.19,+20 17 56,+20 17 32.9,251,150.60,,-33.56,,23.21,HD 5891.xml,
HD 6434,HD 6434,,,,,41.4,40.32,1.03,-1.50,1.03,1.40,HD 6434.xml,
HD 7199,HD 7199,,,,,36,35.88,,-0.91,,0.87,HD 7199.xml,
HD 103197,HD 103197,,,,,49.3,49.33,,-3.86,,3.34,HD 103197.xml,
HD 103720,HD 103720,11 56 41.18534,11 56 41.18,,,41.58,41.60,2.07,,2.07,,HD 103720.xml,
HD 104067,HD 104067,,,,,20.8,20.82,,-0.46,,0.44,HD 104067.xml,
HD 104985,HD 104985,,,,,97.1,102.04,2.4,-5.72,2.4,5.14,HD 104985.xml,
HD 106270,HD 106270,,,-09 30 47,-09 30 48.2,84.9,87.87,,-8.65,,7.23,HD 106270.xml,
HD 106515 A,HD 106515 A,,,,,35.2,36.36,,-2.16,,1.93,HD 106515 A.xml,
HD 106906,HD 106906,,,,,92,91.83,6,-8.27,6,7.01,HD 106906.xml,
HD 108147,HD 108147,,,-64 01 19,-64 01 19.5,38.57,38.56,,-1.05,,1.00,HD 108147.xml,
HD 108341,HD 108341,,,,,,,2.3,,2.3,,HD 108341.xml,
HD 108874,HD 108874,12 30 26,12 30 26.88,,,,,,-5.80,,5.80,HD 108874.xml,
HD 109246,HD 109246,,,,,,,,,,,HD 109246.xml,
HD 109271,HD 109271,12 33 35,12 33 35.56,-11 37 18,-11 37 18.7,62,56.92,,-3.22,,2.89,HD 109271.xml,
HD 109749,HD 109749,,,-40 48 43,-40 48 43.6,59,59.03,,-7.50,,5.98,HD 109749.xml,
HD 111232,HD 111232,12 48 51,12 48 51.75,,,29,28.88,,-0.68,,0.65,HD 111232.xml,
HD 113538,HD 113538,,,,,15.87,15.90,0.34,,0.34,,HD 113538.xml,
HD 114386,HD 114386,13 10 39,13 10 39.82,,,,,,-1.08,,1.00,HD 114386.xml,
HD 114762,HD 114762,13 12 19,13 12 19.74,+17 31 01,+17 31 01.6,39.46,40.57,,-2.52,,2.24,HD 114762.xml,
HD 114729,HD 114729,,,,,,,,-1.23,,1.15,HD 114729.xml,
HD 116029,HD 116029,13 20 39,13 20 39.54,,,123,110.62,,-13.45,,10.82,HD 116029.xml,
