star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
11 Com,11com,2.7,0.3,0.3,19.0,2.0,2.0,,,,,,-0.35,0.09,0.09,4742.0,100.0,100.0,,4.74,,,
11 Oph,11oph,0.0162,0.005,0.005,,,,0.011,0.002,0.002,0.002,0.002,,,,2375.0,175.0,175.0,,,,,
11 UMi,11umi,1.8,0.25,0.25,24.08,1.84,1.84,1.56,0.54,0.54,0.54,0.54,0.04,0.04,0.04,4340.0,70.0,70.0,,5.02,,,
14 And,14and,2.2,0.2,0.2,11.0,1.0,1.0,,,,,,-0.24,,,4813.0,20.0,20.0,,5.22,,,
14 Her,14her,0.9,,,0.708,0.085,0.085,5.1,,,,,0.43,0.08,0.08,5311.0,87.0,87.0,,6.67,,,
16 Cyg B,16cygb,1.01,0.04,0.04,0.98,0.13,0.13,8.0,1.8,1.8,1.8,1.8,0.08,0.04,0.04,5766.0,60.0,60.0,,6.2,,,
18 Del,18del,2.3,,,8.5,,,,,,,,-0.052,0.023,0.023,4979.0,18.0,18.0,,5.52,,,
 1RXS J1609b,1rxsj1609b,20.0,20.0,,,,0.73,0.05,1.35,,1.35,,9.12,8.92,145.0,,k7v,0.011,,co,,,
1SWASP J1407,1swaspj1407,0.9,,,0.99,0.11,0.11,0.016,,,,,,,,4400.0,100.0,100.0,,12.4,,,
24 Sex,24sex,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,0.4,0.4,-0.03,0.04,0.04,5098.0,44.0,44.0,,7.38,,,
2M 0103-55 (AB),2m0103-55(ab),0.4,,,,,,0.03,,,,,,,,,,,,,,,
2M 0122-24,2m0122-24,0.4,0.05,0.05,,,,0.12,0.01,0.01,0.01,0.01,,,,,,,,,,,
2M 0219-39,2m0219-39,0.11,0.01,0.01,0.27,0.01,0.01,,,,,,,,,3064.0,76.0,76.0,,,,,
2M 0441+23,2m0441+23,0.02,,,,,,0.001,,,,,,,,,,,,,,,
2M 0746+20,2m0746+20,0.12,0.09,0.09,0.089,0.003,0.003,,,,,,,,,2205.0,50.0,50.0,,,,,
2M 1207-39,2m1207-39,0.025,,,,,,0.008,0.003,0.003,0.003,0.003,,,,,,,,20.15,,,
2M  1938+46,2m1938+46,0.6,0.03,0.03,,,,,,,,,,,,,,,,,,,
2M 2140+16,2m2140+16,0.08,0.06,0.06,0.1,0.043,0.043,,,,,,,,,2300.0,80.0,80.0,,,,,
