star_name,star_name,Right ascension,Declination,star_distance,star_distance_error_min,star_distance_error_max,source (xml)
11 Com,11com,,,110.6,10.5,10.5,
11 Oph,11oph,,,145.0,20.0,20.0,
11 UMi,11umi,,,119.5,6.9,6.9,
14 And,14and,,,76.4,4.1,4.1,
14 Her,14her,,,18.1,,,
16 Cyg B,16cygb,,,21.41,0.24,0.24,
18 Del,18del,,,73.1,3.5,3.5,
 1RXS J1609b,1rxsj1609b,,,,10.99,9.82,
1SWASP J1407,1swaspj1407,,,133.0,12.0,12.0,
24 Sex,24sex,,,74.8,4.9,4.9,
2M 0103-55 (AB),2m0103-55(ab),,,47.2,3.1,3.1,
2M 0122-24,2m0122-24,,,36.0,4.0,4.0,
2M 0219-39,2m0219-39,,,39.4,2.6,2.6,
2M 0441+23,2m0441+23,,,140.0,,,
2M 0746+20,2m0746+20,,,12.21,0.05,0.05,
2M 1207-39,2m1207-39,,,52.4,1.1,1.1,
2M  1938+46,2m1938+46,,,,,,
2M 2140+16,2m2140+16,,,25.0,10.0,10.0,
2M 2206-20,2m2206-20,,,26.67,2.63,2.63,
" CO""","co""",,,,63.0,,
TYC 9486-927-1,tyc9486-927-1,,,24.75,4.25,4.25,
30 Ari B,30arib,,,39.4,1.7,1.7,
38 Vir,38vir,,,,,,
4 Uma,4uma,,,78.5,1.6,1.6,
42 Dra,42dra,,,97.3,5.0,5.0,
47 Uma,47uma,,,13.97,1.91,1.91,
" H2O""","h2o""",,,,29.4,0.3,
55 Cnc,55cnc,,,12.34,0.4,0.4,
6 Lyn,6lyn,,,56.9,2.5,2.5,
61 Vir,61vir,,,8.52,0.05,0.05,
7 CMa,7cma,,,19.75,0.09,0.09,
70 Vir,70vir,,,22.0,,,
75 Cet,75cet,,,81.5,7.51,7.51,
8 Umi,8umi,,,159.1,11.0,11.0,
81 Cet,81cet,,,97.2,9.2,9.2,
91 Aqr,91aqr,,,45.9,0.6,0.6,
AB Pic,abpic,,,47.3,1.8,1.8,
Aldebaran,aldebaran,,,20.43,0.32,0.32,
BD+14 4559,bd+144559,,,50.0,4.0,4.0,
BD+15 2375,bd+152375,,,774.0,165.0,165.0,
BD+15 2940,bd+152940,,,585.0,455.0,455.0,
BD+20 2457,bd+202457,,,200.0,100.0,100.0,
BD+20 274,bd+20274,,,,,,
BD+20 594,bd+20594,,,152.1,7.4,9.7,
BD+24 4697,bd+244697,,,48.8,,,
BD+26 1888,bd+261888,,,38.0,,,
BD +48 738,bd+48738,,,,,,
BD+49 828,bd+49828,,,,,,
BD-06 1339,bd-061339,,,20.0,1.0,1.0,
BD-08 2823,bd-082823,,,42.2,2.9,2.9,
BD-10 3166,bd-103166,,,66.0,,,
BD-11 4672,bd-114672,,,27.3,1.3,1.3,
BD-17 63,bd-1763,,,34.6,1.5,1.5,
CD-35 2722,cd-352722,,,21.3,1.4,1.4,
CFBDS 1458,cfbds1458,,,23.1,2.4,2.4,
CHXR 73,chxr73,,,,,,
CL Tau,cltau,,,,,,
CT Cha,ctcha,,,165.0,30.0,30.0,
CVSO 30,cvso30,,,330.0,0.0,0.0,
CoRoT-1,corot-1,,,460.0,100.0,100.0,
CoRoT-10,corot-10,,,345.0,50.0,50.0,
CoRoT-11,corot-11,,,560.0,30.0,30.0,
CoRoT-12,corot-12,,,1150.0,85.0,85.0,
CoRoT-13,corot-13,,,1310.0,100.0,100.0,
CoRoT-14,corot-14,,,1340.0,110.0,110.0,
CoRoT-15,corot-15,,,,,,
CoRoT-16,corot-16,,,840.0,90.0,90.0,
CoRoT-17,corot-17,,,920.0,50.0,50.0,
CoRoT-18,corot-18,,,870.0,90.0,90.0,
CoRoT-19,corot-19,,,800.0,200.0,200.0,
CoRoT-2,corot-2,,,300.0,100.0,100.0,
CoRoT-20,corot-20,,,1230.0,120.0,120.0,
CoRoT-21,corot-21,,,,,,
CoRoT-22,corot-22,,,592.0,42.0,25.0,
CoRoT-23,corot-23,,,600.0,50.0,50.0,
CoRoT-24,corot-24,,,600.0,70.0,70.0,
CoRoT-25,corot-25,,,1000.0,85.0,25.0,
CoRoT-26,corot-26,,,1670.0,205.0,110.0,
CoRoT-27,corot-27,,,,,,
CoRoT-28,corot-28,,,560.0,70.0,70.0,
CoRoT-29,corot-29,,,765.0,50.0,50.0,
CoRoT-3,corot-3,,,680.0,160.0,160.0,
CoRoT-33,corot-33,,,,,,
CoRoT-4,corot-4,,,,,,
CoRoT-5,corot-5,,,400.0,0.0,0.0,
CoRoT-6,corot-6,,,,,,
CoRoT-7,corot-7,,,150.0,20.0,20.0,
CoRoT-8,corot-8,,,380.0,100.0,100.0,
CoRoT-9,corot-9,,,460.0,,,
DE0823-49,de0823-49,,,20.69,0.06,0.06,
DH Tau,dhtau,,,,,,
DP Leo,dpleo,,,,,,
DW Lyn,dwlyn,,,,,,
EPIC 201295312,epic201295312,,,,,,
K2-8,k2-8,,,,,,
EPIC 201637175 ,epic201637175,,,225.0,50.0,50.0,
EPIC 201713348,epic201713348,,,,,,
EPIC 203826436,epic203826436,,,,,,
EPIC 204221263,epic204221263,,,,,,
EPIC 205071984,epic205071984,,,,,,
EPIC 211822797,epic211822797,,,,,,
EPIC 211913977,epic211913977,,,,,,
EPIC 211916756,epic211916756,,,,,,
EPIC 211969807,epic211969807,,,,,,
EPIC 211970147,epic211970147,,,,,,
EPIC 211990866,epic211990866,,,,,,
EPIC 219388192,epic219388192,,,300.0,24.0,24.0,
EPIC 220504338,epic220504338,,,553.4,43.0,59.0,
EPIC 220674823,epic220674823,,,,,,
EPIC-206011691,epic-206011691,,,65.0,6.0,6.0,
EPIC-210490365,epic-210490365,,,45.7,3.3,3.3,
FU Tau,futau,,,140.0,,,
FW Tau,fwtau,,,145.0,15.0,15.0,
Fomalhaut,fomalhaut,,,7.704,0.028,0.028,
 H2,h2,,,,,,
GJ 1214,gj1214,,,13.0,,,
GJ 15 A,gj15a,,,3.587,0.01,0.01,
GJ 160.2,gj160.2,,,,,,
GJ 163,gj163,,,15.0,0.4,0.4,
GJ 176,gj176,,,9.42,0.22,0.22,
GJ 179,gj179,,,12.3,0.6,0.6,
GJ 180,gj180,,,,,,
GJ 229,gj229,,,,,,
GJ 27.1,gj27.1,,,,,,
 HIP 1292 b,hip1292b,,,,,,
GJ 317,gj317,,,15.1,0.22,0.22,
GJ 328,gj328,,,19.8,0.8,0.8,
GJ 3293,gj3293,,,17.9,3.0,3.0,
GJ 3341,gj3341,,,23.1,0.7,0.7,
GJ 3470,gj3470,,,29.28,1.7,2.1,
GJ 3634,gj3634,,,19.8,0.6,0.6,
GJ 3998,gj3998,,,17.8,0.7,0.7,
GJ 422,gj422,,,,,,
GJ 433,gj433,,,9.04,0.15,0.15,
 H,h,,,,,,
GJ 504,gj504,,,17.56,0.08,0.08,
GJ 536,gj536,,,10.03,,,
GJ 581,gj581,,,6.21,0.1,0.1,
GJ 649,gj649,,,10.34,0.15,0.15,
GJ 667 C,gj667c,,,6.84,0.4,0.4,
GJ 674,gj674,,,4.54,0.03,0.03,
GJ 676 A,gj676a,,,16.45,0.44,0.44,
GJ 682,gj682,,,,,,
GJ 687,gj687,,,4.5,0.115,0.115,
GJ 758,gj758,,,15.5,,,
GJ 785,gj785,,,8.911,0.024,0.024,
GJ 832,gj832,,,4.94,0.025,0.025,
GJ 849,gj849,,,9.1,0.2,0.2,
GJ 86,gj86,,,10.9,,,
GJ 876,gj876,,,4.7,0.01,0.01,
GQ Lup,gqlup,,,140.0,50.0,50.0,
GSC 6214-210,gsc6214-210,,,145.0,14.0,14.0,
GU Psc,gupsc,,,48.0,5.0,5.0,
HAT-47,hat-47,,,268.0,7.0,7.0,
HAT-48,hat-48,,,305.0,12.0,12.0,
 O I,oi,,,,,,
HAT-P-11,hat-p-11,,,38.0,1.3,1.3,
HAT-P-12,hat-p-12,,,142.5,3.3,3.3,
HAT-P-13,hat-p-13,,,214.0,12.0,12.0,
HAT-P-14,hat-p-14,,,205.0,11.0,11.0,
HAT-P-15,hat-p-15,,,190.0,8.0,8.0,
HAT-P-16,hat-p-16,,,235.0,10.0,10.0,
HAT-P-17,hat-p-17,,,90.0,3.0,3.0,
HAT-P-18,hat-p-18,,,166.0,9.0,9.0,
HAT-P-19,hat-p-19,,,215.0,15.0,15.0,
HAT-P-2,hat-p-2,,,118.0,8.0,8.0,
HAT-P-20,hat-p-20,,,70.0,3.0,3.0,
HAT-P-21,hat-p-21,,,254.0,19.0,19.0,
HAT-P-22,hat-p-22,,,82.0,3.0,3.0,
HAT-P-23,hat-p-23,,,393.0,25.0,25.0,
