pl_name,pl_name,Lists,pl_bmassj,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_radj,pl_radjerr2,pl_radjerr1,pl_radjerr2,pl_radjerr1,pl_orbper,pl_orbpererr2,pl_orbpererr1,pl_orbpererr2,pl_orbpererr1,pl_orbeccen,pl_orbeccenerr2,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenerr1,pl_eqt,pl_eqterr2,pl_eqterr1,pl_eqterr2,pl_eqterr1,Discovery method,pl_publ_date,Last updated [yy/mm/dd],source (xml)
Kepler-139 c,kepler-139c,,,,,,,0.302,0.062,0.062,0.062,0.062,157.07287800,0.00172000,0.00172000,0.00172000,0.00172000,,,,,,,,,,,,2014,,
Kepler-140 c,kepler-140c,,,,,,,0.161,0.031,0.031,0.031,0.031,91.35328200,0.00137000,0.00137000,0.00137000,0.00137000,,,,,,,,,,,,2014,,
Kepler-141 b,kepler-141b,,,,,,,0.062,0.004,0.004,0.004,0.004,3.10767500,0.00002200,0.00002200,0.00002200,0.00002200,,,,,,,,,,,,2014,,
Kepler-141 c,kepler-141c,,,,,,,0.126,0.008,0.008,0.008,0.008,7.01060600,0.00002000,0.00002000,0.00002000,0.00002000,,,,,,,,,,,,2014,,
Kepler-142 c,kepler-142c,,,,,,,0.255,0.049,0.049,0.049,0.049,4.76170200,0.00000500,0.00000500,0.00000500,0.00000500,,,,,,,,,,,,2014,,
Kepler-142 d,kepler-142d,,,,,,,0.193,0.042,0.042,0.042,0.042,41.80911800,0.00056200,0.00056200,0.00056200,0.00056200,,,,,,,,,,,,2014,,
Kepler-143 b,kepler-143b,,,,,,,0.215,0.054,0.054,0.054,0.054,16.00758300,0.00009300,0.00009300,0.00009300,0.00009300,,,,,,,,,,,,2014,,
Kepler-143 c,kepler-143c,,,,,,,0.301,0.075,0.075,0.075,0.075,27.08251100,0.00016900,0.00016900,0.00016900,0.00016900,,,,,,,,,,,,2014,,
Kepler-144 b,kepler-144b,,,,,,,0.119,0.023,0.023,0.023,0.023,5.88527300,0.00002000,0.00002000,0.00002000,0.00002000,,,,,,,,,,,,2014,,
Kepler-144 c,kepler-144c,,,,,,,0.120,0.023,0.023,0.023,0.023,10.10466500,0.00004300,0.00004300,0.00004300,0.00004300,,,,,,,,,,,,2014,,
Kepler-145 b,kepler-145b,,0.11700,0.03600,0.03600,0.03600,0.03600,0.236,0.007,0.007,0.007,0.007,22.95100000,,,,,,,,,,,,,,,,2014,,
Kepler-145 c,kepler-145c,,0.25000,0.05200,0.05200,0.05200,0.05200,0.385,0.011,0.011,0.011,0.011,42.88200000,,,,,,,,,,,,,,,,2014,,
Kepler-146 b,kepler-146b,,,,,,,0.331,0.062,0.062,0.062,0.062,31.15879900,0.00007900,0.00007900,0.00007900,0.00007900,,,,,,,,,,,,2014,,
Kepler-146 c,kepler-146c,,,,,,,0.279,0.053,0.053,0.053,0.053,76.73217100,0.00060900,0.00060900,0.00060900,0.00060900,,,,,,,,,,,,2014,,
Kepler-147 b,kepler-147b,,,,,,,0.136,0.028,0.028,0.028,0.028,12.61058400,0.00022800,0.00022800,0.00022800,0.00022800,,,,,,,,,,,,2014,,
Kepler-147 c,kepler-147c,,,,,,,0.217,0.044,0.044,0.044,0.044,33.41642300,0.00041600,0.00041600,0.00041600,0.00041600,,,,,,,,,,,,2014,,
Kepler-148 b,kepler-148b,,,,,,,0.161,0.078,0.078,0.078,0.078,1.72936600,0.00000400,0.00000400,0.00000400,0.00000400,,,,,,,,,,,,2014,,
Kepler-148 c,kepler-148c,,,,,,,0.321,0.157,0.157,0.157,0.157,4.18004300,0.00000400,0.00000400,0.00000400,0.00000400,,,,,,,,,,,,2014,,
Kepler-149 b,kepler-149b,,,,,,,0.376,0.054,0.054,0.054,0.054,29.19894300,0.00004100,0.00004100,0.00004100,0.00004100,,,,,,,,,,,,2014,,
Kepler-149 c,kepler-149c,,,,,,,0.144,0.021,0.021,0.021,0.021,55.32832800,0.00194600,0.00194600,0.00194600,0.00194600,,,,,,,,,,,,2014,,
Kepler-149 d,kepler-149d,,,,,,,0.353,0.061,0.061,0.061,0.061,160.01803200,0.00109600,0.00109600,0.00109600,0.00109600,,,,,,,,,,,,2014,,
Kepler-150 b,kepler-150b,,,,,,,0.112,0.017,0.017,0.017,0.017,3.42805400,0.00002600,0.00002600,0.00002600,0.00002600,,,,,,,,,,,,2014,,
Kepler-150 d,kepler-150d,,,,,,,0.249,0.037,0.037,0.037,0.037,12.56093000,0.00003600,0.00003600,0.00003600,0.00003600,,,,,,,,,,,,2014,,
