Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
11 Com,11com|11comaeberenices|hd107383|hip60202|tyc1445-2560-1|sao100053|hr4697|bd+182592|2massj12204305+1747341,2.7,0.3,0.3,19,2,2,,,,,,-0.35,0.09,0.09,4742,100,100,g8iii,4.74,,,11 Com.xml
11 UMi,11umi|11ursaeminoris|pherkard|pherkadminor|hd136726|hip74793|tyc4414-2315-1|sao8207|hr5714|bd+72678|2massj15170588+7149258,1.80,0.25,0.25,24.08,1.84,1.84,,,,,,0.04,0.04,0.04,4340,70,70,k4iii,5.024,,,11 UMi.xml
14 And,14and|14andromedae|hd221345|hip116076|tyc3231-323-1|hr8930|bd+385023|2massj23311742+3914102,2.2,0.2,0.1,11,1,1,,,,,,-0.24,0.03,0.03,4813,20,20,k0iii,5.22,,,14 And.xml
14 Her,14her|hd145675|hip79248|tyc3067-576-1|sao45933|gliese614|gj614|bd+442549|2massj16102432+4349037,1.0,,,0.708,,,,,,,,0.43,,,5311.0,,,k0v,6.67,,,14 Her.xml
16 Cygni A,16cygnia|16cyga|hd186408|hip96895|tyc3565-1524-1|sao31898|hr7503|gliese765.1a|gj765.1a|bd+502847|2massj19414896+5031305|kic12069424|wdsj19418+5032aa,1.11,0.02,0.02,1.243,0.008,0.008,6.8,0.4,0.4,,,0.096,0.026,0.026,5825,50,50,g2v,5.95,,,16 Cygni.xml
16 Cygni C,16cygnic|16cygc|wdsj19418+5032ab,0.17,,,,,,,,,,,,,,,,,m,13,,,16 Cygni.xml
16 Cygni B,16cygnib|16cygb|hd186427|hip96901|tyc3565-1525-1|sao31899|hr7504|gliese765.1b|gj765.1b|bd+502848|2massj19415198+5031032|kic12069449,1.07,0.02,0.02,1.127,0.007,0.007,6.8,0.4,0.4,,,0.052,0.021,0.021,5750,50,50,g2v,6.20,,,16 Cygni.xml
18 Del,18del|18delphini|hd199665|hip103527|tyc1107-2709-1|sao106712|hr8030|bd+104425|2massj20582594+1050214,2.3,,,8.5,,,,,,,,-0.052,0.023,0.023,4979,18,18,g6iii,5.522,,,18 Del.xml
1RXS1609,1rxs1609|1rxsj160929.1-210524|gsc6213-1358,0.85,0.10,0.20,1.35,,,0.011,0.002,0.002,,,,,,4060,200,300,m0v,,,,1RXS1609.xml
1SWASP J1407,1swaspj1407|1swaspj140747.93-394542.6,,,,0.99,0.11,0.11,0.016,,,,,,,,,,,k5,,,,1SWASP J1407.xml
24 Sex,24sex|24sextantis|hd90043|hip50887|tyc4905-1374-1|sao137532|bd-002332|2massj10232836-0054079,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,,,-0.03,0.04,0.04,5098,44,44,g5,7.38,,,24 Sex.xml
2M0441+2301 Aa,2m0441+2301aa|2m044145a|2massj04414565+2301580a,0.2,0.05,1.0,1.1,0.2,0.2,,,,,,,,,3400,,,m4.5,,,,2M 044144.xml
2M0441+2301 Ab,2m0441+2301ab|2m044145b|2massj04414565+2301580b,0.033,0.005,0.005,,,,,,,,,,,,2800,,,m7+-1,,,,2M 044144.xml
2M 044144,2m044144|2m044144a|2massj04414489+2301513|2massj04414489+2301513a|2m0441+2301ba|2m0441+2301b,0.018,0.003,0.003,,,,,,,,,,,,2100,,,m7,,,,2M 044144.xml
2M 0746+20,2m0746+20|2massj07464256+2000321a,0.12,,,0.089,,,,,,,,,,,2205.0,,,l0/l1.5,17.7,,,2M 0746+20.xml
2M 1938+4603 A,2m1938+4603a|kepler-451a|kic9472174a|2massj19383260+4603591a|wisej193832.61+460358.9a|tyc3556-3568-1a|nsvs5629361a,0.48,0.03,0.03,0.223,0.004,0.004,,,,,,,,,29564,106,106,sdbv,12.69,0.24,0.24,2M 1938+4603.xml
2M 1938+4603 B,2m1938+4603b|kepler-451b|kic9472174b|2massj19383260+4603591b|wisej193832.61+460358.9b|tyc3556-3568-1b|nsvs5629361b,0.12,0.01,0.01,0.158,0.003,0.003,,,,,,,,,,,,m,,,,2M 1938+4603.xml
2M 2140+16,2m2140+16|2massj21402931+1625183,0.08,,,0.1,,,,,,,,,,,2300.0,,,m8.5/l2,,,,2M 2140+16.xml
2M 2206-20,2m2206-20|2massj22062280-2047058,0.13,,,0.11,,,,,,,,,,,2350.0,,,m8,19.788,0.203,0.203,2M 2206-20.xml
2M1207,2m1207|2massj12073346-3932539,0.025,,,,,,,,,,,,,,2550.0,,,m8,20.15,,,2M1207.xml
2MASS J01225093-2439505 A,2massj01225093-2439505a|2mass0122-2439a,0.40,0.05,0.05,,,,0.120,0.010,0.010,,,,,,,,,m3.5,14.24,0.07,0.07,2MASS 0122-2439.xml
2MASS J0219-3925,2massj0219-3925|2massj0219-3925a|2massj02192210-3925225|2massj02192210-3925225a,0.108,0.011,0.011,0.281,0.013,0.013,,,,0.030,0.040,,,,3064,76,76,m6g,,,,2MASS J0219-3925.xml
30 Ari Aa,30ariaa|30arietisaa,1.31,0.04,0.04,1.37,0.03,0.03,0.86,0.63,0.63,,,,,,6462,,,f5v,6.48,,,30 Ari.xml
30 Ari Ab,30ariab|30arietisab,0.14,,,,,,,,,,,,,,,,,,,,,30 Ari.xml
30 Ari B,30arib|30arietisb|hd16232|hip12184|tyc1771-1397-1|sao75470|hr764|bd+24375|2massj02365772+2438530|wdsj02370+2439b,1.16,0.04,0.04,1.13,0.03,0.03,0.91,0.83,0.83,,,0.07,,,6424,,,f8v,7.091,,,30 Ari.xml
30 Ari C,30aric|30arietisc|wdsj02370+2439c,0.50,,,,,,,,,,,,,,,,,m1v,,,,30 Ari.xml
4 UMa,4uma|4ursaemajoris|pi.02uma|pi-2ursaemajoris|p2ursaemajoris|hd73108|hip42527|tyc4130-2355-1|sao14616|bd+64698|hr3404|2massj08401279+6419405,1.234,0.15,0.15,18.11,1.47,1.47,4.604,2.0,2.0,,,-0.25,0.04,0.04,4415,70,70,k1iii,5.787,0.005,0.005,4 UMa.xml
42 Dra,42dra|42draconis|hd170693|hip90344|tyc4222-2311-1|sao17888|hr6945|bd+651271|2massj18255915+6533486,0.98,0.05,0.05,22.03,1.00,1.00,9.49,1.76,1.76,,,-0.46,0.05,0.05,4200,70,70,k1.5iii,4.833,,,42 Dra.xml
47 UMa,47uma|47ursaemajoris|hd95128|hip53721|tyc3009-2703-1|sao43557|hr4277|gliese407|gj407|bd+412147|2massj10592802+4025485,1.063,0.022,0.029,1.24,0.04,0.04,6.48,1.04,1.44,,,-0.019,,,5818.7,,,g0v,5.04,,,47 UMa.xml
51 Eri,51eri|51eridani|ceri|ceridani|hd29391|hip21547|tyc4739-1551-1|2massj04373613-0228248|hr1474|bd-02963|wdsj04376-0228a|wal32a,1.75,0.05,0.05,,,,0.020,0.006,0.006,,,-0.027,,,,,,f0iv,5.223,,,51 Eri.xml
GJ 3305 A,gj3305a|wdsj04376-0228ca|kas1a,0.67,0.05,0.05,,,,,,,,,,,,,,,m0,7.70,,,51 Eri.xml
GJ 3305 B,gj3305b|wdsj04376-0228cb|kas1b,0.44,0.05,0.05,,,,,,,,,,,,,,,m3,10.90,,,51 Eri.xml
